sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200/output_recluster_bins/recluster_109.bin.1.fa	1052977	0.9928408664514702	0.998586491187925	3621807	3595878	3600968	0.7619047619047619	0.8888888888888888	21	16	18
gsa	S3N2Bin_200/output_recluster_bins/bin.558.fa	1287_BD	1.0	0.9980215141704157	4285697	4285697	4294193	1.0	0.6363636363636364	14	14	22
gsa	S3N2Bin_200/output_recluster_bins/bin.426.fa	1052998	0.9988745304893758	0.9973518910683467	2507398	2504576	2511226	0.92	0.92	25	23	25
gsa	S3N2Bin_200/output_recluster_bins/recluster_308.bin.2.fa	1286_BD	0.9977718626679408	0.9968522429915183	3025397	3018656	3028188	0.8888888888888888	0.5	9	8	16
gsa	S3N2Bin_200/output_recluster_bins/bin.1112.fa	1220_AX	1.0	0.9962335668813802	4231522	4231522	4247520	1.0	0.5384615384615384	7	7	13
gsa	S3N2Bin_200/output_recluster_bins/recluster_111.bin.1.fa	1048966	0.9952011716902924	0.9959622793320468	3669229	3651621	3666425	0.9615384615384616	0.8333333333333334	26	25	30
gsa	S3N2Bin_200/output_recluster_bins/bin.252.fa	1021_AS	1.0	0.9958596722318239	5552320	5552320	5575404	1.0	0.5625	18	18	32
gsa	S3N2Bin_200/output_recluster_bins/recluster_24.bin.0.fa	1053022	0.9979839971951265	0.9951318287739185	3673606	3666200	3684135	0.9090909090909091	0.75	33	30	40
gsa	S3N2Bin_200/output_recluster_bins/recluster_26.bin.1.fa	1220_AR	0.9695206828200285	0.9948964482218843	4608535	4468070	4490990	0.5555555555555556	0.30303030303030304	18	10	33
gsa	S3N2Bin_200/output_recluster_bins/bin.419.fa	evo_1286_G.010	1.0	0.9944248201084843	3122304	3122304	3139809	1.0	0.7142857142857143	15	15	21
gsa	S3N2Bin_200/output_recluster_bins/bin.143.fa	1021_AQ	0.9945312296358709	0.994003055505534	5677876	5646825	5680893	0.8918918918918919	0.5789473684210527	37	33	57
gsa	S3N2Bin_200/output_recluster_bins/recluster_85.bin.1.fa	evo_1139_Y.018	0.9989647441945668	0.9931376390214361	7249416	7241911	7291951	0.9807692307692307	0.5543478260869565	52	51	92
gsa	S3N2Bin_200/output_recluster_bins/recluster_167.bin.0.fa	1053025	0.999257253916389	0.9897967510035667	3726711	3723943	3762331	0.9459459459459459	0.7446808510638298	37	35	47
gsa	S3N2Bin_200/output_recluster_bins/bin.443.fa	1021_P	1.0	0.9885421334768466	4347807	4347807	4398201	1.0	0.26666666666666666	8	8	30
gsa	S3N2Bin_200/output_recluster_bins/bin.149.fa	1053037	0.9857719441301035	0.9874516992337867	2732348	2693472	2727700	0.9672131147540983	0.8872180451127819	122	118	133
gsa	S3N2Bin_200/output_recluster_bins/recluster_85.bin.3.fa	evo_1139_Y.035	1.0	0.9874181021852093	7062820	7062820	7152816	1.0	0.7096774193548387	110	110	155
gsa	S3N2Bin_200/output_recluster_bins/bin.200.fa	1287_N	0.9726052318681331	0.9855330778069911	4545795	4421264	4486165	0.33766233766233766	0.5306122448979592	77	26	49
gsa	S3N2Bin_200/output_recluster_bins/recluster_24.bin.1.fa	1053028	1.0	0.9845342865185547	3707382	3707382	3765620	1.0	0.8148148148148148	22	22	27
gsa	S3N2Bin_200/output_recluster_bins/recluster_116.bin.2.fa	evo_1030728.009	1.0	0.9817427506672628	2428378	2428378	2473538	1.0	0.8461538461538461	55	55	65
gsa	S3N2Bin_200/output_recluster_bins/recluster_116.bin.5.fa	evo_1030728.001	0.9993539907212645	0.9804607793581975	2369935	2368404	2415603	0.9852941176470589	0.8481012658227848	68	67	79
gsa	S3N2Bin_200/output_recluster_bins/recluster_68.bin.1.fa	evo_1035921.007	1.0	0.9778895156659289	3044792	3044792	3113636	1.0	0.76	19	19	25
gsa	S3N2Bin_200/output_recluster_bins/recluster_68.bin.3.fa	evo_1035921.028	1.0	0.9765740222208175	3074381	3074381	3148129	1.0	0.6956521739130435	16	16	23
gsa	S3N2Bin_200/output_recluster_bins/bin.398.fa	1139_B	1.0	0.9755692780040522	4514560	4514560	4627616	1.0	0.4883720930232558	21	21	43
gsa	S3N2Bin_200/output_recluster_bins/recluster_68.bin.2.fa	evo_1035921.008	1.0	0.9741477825728273	2942616	2942616	3020708	1.0	0.84	63	63	75
gsa	S3N2Bin_200/output_recluster_bins/bin.467.fa	evo_1035921.030	1.0	0.9713352432478555	3028057	3028057	3117417	1.0	0.6521739130434783	15	15	23
