,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.10195, k__Bacteria (UID203),5449,104,58, 52,51, 1,0,0, 0, 71.72,1.72, 0.00,1268,1238,102,genus,0.92,0.9,0.02,0.03,0.06,0.94,0.84,True
bin.10452,o__Clostridiales (UID1212), 172, 257, 149,121, 135, 1,0,0, 0, 55.33,0.13, 0.00,1602,1582,68,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
bin.11031, k__Bacteria (UID203),5449,103,57, 82,20, 1,0,0, 0, 35.09,1.75, 0.00,1271,1246,48,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.11934, k__Bacteria (UID203),5449,104,58, 81,23, 0,0,0, 0, 37.93,0.00, 0.00,944,924,91,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.11959, k__Bacteria (UID203),5449,103,57, 39,40, 12, 12, 0, 0, 42.63, 15.34,66.67,3998,3797,410,phylum,0.99,0.94,0.99,0.44,0.97,0.9,0.85,False
bin.12040,o__Clostridiales (UID1212), 172, 257, 149, 67, 108, 78, 4,0, 0, 82.48, 38.14,17.78,2588,2543,118,genus,0.95,0.93,0.92,0.35,0.83,0.97,0.9,False
bin.12184, k__Bacteria (UID203),5449,104,58, 88,16, 0,0,0, 0, 24.14,0.00, 0.00,980,967,52,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True
bin.12981, k__Bacteria (UID203),5449,103,58, 86,17, 0,0,0, 0, 21.16,0.00, 0.00,555,540,51,class,0.96,0.94,0.05,0.04,0.08,0.96,0.9,True
bin.12985, k__Bacteria (UID203),5449,104,58, 90,14, 0,0,0, 0, 18.97,0.00, 0.00,608,576,60,class,0.96,0.91,0.3,0.04,0.08,0.75,0.69,True
bin.13369, k__Bacteria (UID203),5449,103,57, 92,11, 0,0,0, 0, 14.91,0.00, 0.00,441,437,32,family,0.99,0.98,0.04,0.07,0.14,0.97,0.95,True
bin.13567, k__Bacteria (UID203),5449,104,58, 89,15, 0,0,0, 0, 22.41,0.00, 0.00,181,178,9,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.13574, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,408,406,13,kingdom,1.0,1.0,0.0,0.0,0.0,0.98,0.97,True
bin.15318, k__Bacteria (UID203),5449,104,58,103,1,0,0,0, 0,1.72,0.00, 0.00,333,330,30,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.95,True
bin.1687, p__Bacteroidetes (UID2605), 350, 314, 208, 4,304, 6,0,0, 0, 98.72,2.88, 0.00,1755,1712,31,family,0.97,0.95,0.33,0.05,0.11,0.97,0.92,True
