sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200/output_recluster_bins/bin.157.fa	1030869	1.0	1.0	1534116	1534116	1534116	1.0	1.0	6	6	6
gsa	S3N2Bin_200/output_recluster_bins/bin.113.fa	1036785	0.9490214750208772	1.0	5248563	4980999	4980999	0.5094339622641509	1.0	53	27	27
gsa	S3N2Bin_200/output_recluster_bins/bin.92.fa	1048885	0.9163110933785216	0.9993200931856943	13384020	12263926	12272270	0.16470588235294117	0.8936170212765957	255	42	47
gsa	S3N2Bin_200/output_recluster_bins/bin.693.fa	1030905	1.0	0.9990131538779421	3108863	3108863	3111934	1.0	0.8823529411764706	15	15	17
gsa	S3N2Bin_200/output_recluster_bins/bin.140.fa	1220_E	0.9965486784595498	0.9987153679753252	7298074	7272886	7282241	0.8125	0.7222222222222222	32	26	36
gsa	S3N2Bin_200/output_recluster_bins/bin.571.fa	1035939	0.9835617956088463	0.9986937614295875	1624630	1597924	1600014	0.3888888888888889	0.875	18	7	8
gsa	S3N2Bin_200/output_recluster_bins/bin.411.fa	1287_BN	0.9791966438360544	0.99862028455211	4847439	4746596	4753154	0.4838709677419355	0.5172413793103449	31	15	29
gsa	S3N2Bin_200/output_recluster_bins/recluster_109.bin.1.fa	1052977	0.9928408664514702	0.998586491187925	3621807	3595878	3600968	0.7619047619047619	0.8888888888888888	21	16	18
gsa	S3N2Bin_200/output_recluster_bins/bin.5.fa	1286_AF	0.9926926328824031	0.9983504260771608	4806656	4771532	4779416	0.7083333333333334	0.5862068965517241	24	17	29
gsa	S3N2Bin_200/output_recluster_bins/recluster_62.bin.0.fa	1030881	1.0	0.9983382043399912	3296363	3296363	3301850	1.0	0.9523809523809523	20	20	21
gsa	S3N2Bin_200/output_recluster_bins/bin.533.fa	1030740	0.936200907577573	0.9981046093542778	3472761	3251202	3257376	0.36363636363636365	0.9032258064516129	77	28	31
gsa	S3N2Bin_200/output_recluster_bins/bin.558.fa	1287_BD	1.0	0.9980215141704157	4285697	4285697	4294193	1.0	0.6363636363636364	14	14	22
gsa	S3N2Bin_200/output_recluster_bins/bin.1483.fa	1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085	1.0	0.7142857142857143	10	10	14
gsa	S3N2Bin_200/output_recluster_bins/bin.1214.fa	1220_A	0.9990488961159891	0.9973911316577343	3860777	3857105	3867194	0.8666666666666667	0.5652173913043478	15	13	23
gsa	S3N2Bin_200/output_recluster_bins/bin.426.fa	1052998	0.9988745304893758	0.9973518910683467	2507398	2504576	2511226	0.92	0.92	25	23	25
gsa	S3N2Bin_200/output_recluster_bins/recluster_308.bin.2.fa	1286_BD	0.9977718626679408	0.9968522429915183	3025397	3018656	3028188	0.8888888888888888	0.5	9	8	16
gsa	S3N2Bin_200/output_recluster_bins/recluster_103.bin.0.fa	1036683	0.9967437367342689	0.9968066131236618	4835297	4819552	4834992	0.9863013698630136	0.8780487804878049	73	72	82
