,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0, o__Clostridiales (UID1212), 172, 263, 149,185,70, 8,0,0, 0, 22.38,0.48, 0.00,767,753,204,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.1,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,1752,1595,302,genus,0.77,0.7,0.53,0.81,6.97,0.84,0.59,False
bin.10, k__Bacteria (UID203),5449,100,55, 35,23, 26, 16, 0, 0, 50.91, 21.24,20.27,577,563,179,kingdom,0.99,0.97,0.0,0.0,0.0,0.94,0.92,True
bin.100,k__Bacteria (UID203),5449,104,58, 58,46, 0,0,0, 0, 68.28,0.00, 0.00,2267,2231,198,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True
bin.102,k__Bacteria (UID203),5449,103,57, 95,8,0,0,0, 0,5.26,0.00, 0.00,433,278,69,class,0.91,0.58,0.87,0.24,0.63,0.71,0.41,False
bin.103, o__Clostridiales (UID1212), 172, 263, 149,103, 158, 2,0,0, 0, 55.81,1.01, 0.00,1316,1232,280,class,0.95,0.89,0.2,0.46,0.99,0.64,0.57,True
bin.104, o__Clostridiales (UID1212), 172, 263, 149, 3,258, 2,0,0, 0, 97.99,0.12, 0.00,2232,2145,44,genus,0.84,0.81,0.28,0.15,0.36,0.93,0.75,True
bin.105, o__Clostridiales (UID1212), 172, 261, 147, 42, 213, 6,0,0, 0, 97.04,3.74,66.67,2076,2046,80,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.93,True
bin.108,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,375,343,53,genus,0.76,0.7,0.37,0.31,1.03,0.84,0.59,True
bin.11, k__Bacteria (UID203),5449,102,56, 98,4,0,0,0, 0,5.36,0.00, 0.00,1666,1505,265,genus,0.65,0.59,0.57,0.87,9.52,0.82,0.48,False
bin.110,k__Bacteria (UID203),5449,104,58,100,4,0,0,0, 0,5.17,0.00, 0.00,960,909,76,genus,0.85,0.81,0.44,0.78,7.24,0.88,0.71,True
bin.111, o__Clostridiales (UID1212), 172, 263, 149,247,16, 0,0,0, 0,0.99,0.00, 0.00,703,682,100,genus,0.8,0.78,0.55,0.84,10.18,0.86,0.67,False
bin.115, o__Clostridiales (UID1212), 172, 263, 149, 9,253, 1,0,0, 0, 97.88,0.67, 0.00,2284,2251,104,genus,0.94,0.93,0.38,0.03,0.05,0.98,0.91,True
