sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/bin.97.fa	1036785	0.9479908622874086	1.0	5254269	4980999	4980999	0.48214285714285715	1.0	56	27	27
gsa	S3N2Bin_1000/output_recluster_bins/bin.136.fa	1030869	0.9983100292637598	1.0	1536713	1534116	1534116	0.8571428571428571	1.0	7	6	6
gsa	S3N2Bin_1000/output_recluster_bins/bin.454.fa	1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553	1.0	0.8888888888888888	8	8	9
gsa	S3N2Bin_1000/output_recluster_bins/recluster_213.bin.0.fa	1036782	0.9953107385815586	0.9995063197876562	2949505	2935674	2937124	0.9130434782608695	0.9545454545454546	23	21	22
gsa	S3N2Bin_1000/output_recluster_bins/recluster_3.bin.0.fa	1048885	0.9899021242460387	0.999496833104226	12391220	12266095	12272270	0.7288135593220338	0.9148936170212766	59	43	47
gsa	S3N2Bin_1000/output_recluster_bins/bin.6.fa	1049032	0.9914515896498498	0.9994229018415365	4536282	4497504	4500101	0.7419354838709677	0.92	31	23	25
gsa	S3N2Bin_1000/output_recluster_bins/bin.120.fa	1220_E	0.9980606607531366	0.9987153679753252	7287018	7272886	7282241	0.8387096774193549	0.7222222222222222	31	26	36
gsa	S3N2Bin_1000/output_recluster_bins/bin.244.fa	1035939	0.9553767609991636	0.9986937614295875	1672559	1597924	1600014	0.22580645161290322	0.875	31	7	8
gsa	S3N2Bin_1000/output_recluster_bins/recluster_48.bin.0.fa	1287_BN	0.9968665441846672	0.99862028455211	4761516	4746596	4753154	0.7894736842105263	0.5172413793103449	19	15	29
gsa	S3N2Bin_1000/output_recluster_bins/recluster_93.bin.1.fa	1052977	0.9469615092908609	0.998586491187925	3797280	3595878	3600968	0.64	0.8888888888888888	25	16	18
gsa	S3N2Bin_1000/output_recluster_bins/bin.5.fa	1286_AF	0.9853313305383964	0.9983504260771608	4842566	4771532	4779416	0.4722222222222222	0.5862068965517241	36	17	29
gsa	S3N2Bin_1000/output_recluster_bins/recluster_55.bin.0.fa	1030881	1.0	0.9983382043399912	3296363	3296363	3301850	1.0	0.9523809523809523	20	20	21
gsa	S3N2Bin_1000/output_recluster_bins/recluster_39.bin.0.fa	1035993	0.9986944401380348	0.9981005680363187	2786544	2782906	2788202	0.9393939393939394	0.9117647058823529	33	31	34
gsa	S3N2Bin_1000/output_recluster_bins/bin.225.fa	1287_BD	0.9910180042270392	0.9980215141704157	4324540	4285697	4294193	0.6363636363636364	0.6363636363636364	22	14	22
gsa	S3N2Bin_1000/output_recluster_bins/recluster_75.bin.1.fa	1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085	1.0	0.7142857142857143	10	10	14
gsa	S3N2Bin_1000/output_recluster_bins/recluster_322.bin.1.fa	1220_AX	0.9984719926572722	0.9978194334576411	4244744	4238258	4247520	0.8888888888888888	0.6153846153846154	9	8	13
gsa	S3N2Bin_1000/output_recluster_bins/recluster_250.bin.1.fa	1030968	0.9970953009095488	0.9978156874144305	4630428	4616978	4627085	0.9454545454545454	0.9122807017543859	55	52	57
gsa	S3N2Bin_1000/output_recluster_bins/bin.623.fa	1220_A	0.9975291330319017	0.9973911316577343	3866659	3857105	3867194	0.8125	0.5652173913043478	16	13	23
gsa	S3N2Bin_1000/output_recluster_bins/bin.344.fa	1052998	0.9930923787776116	0.9973518910683467	2521997	2504576	2511226	0.7931034482758621	0.92	29	23	25
gsa	S3N2Bin_1000/output_recluster_bins/bin.223.fa	1030740	0.9025315193089022	0.9972259880345407	3599143	3248340	3257376	0.2231404958677686	0.8709677419354839	121	27	31
gsa	S3N2Bin_1000/output_recluster_bins/recluster_85.bin.1.fa	1287_W	1.0	0.9971548979912929	4195611	4195611	4207582	1.0	0.6666666666666666	26	26	39
gsa	S3N2Bin_1000/output_recluster_bins/recluster_55.bin.1.fa	1036803	0.9732950692962291	0.9971159260989226	5290259	5148983	5163876	0.8214285714285714	0.7419354838709677	28	23	31
gsa	S3N2Bin_1000/output_recluster_bins/recluster_86.bin.1.fa	1036695	0.9621762806946432	0.9971091735363126	3513113	3380234	3390034	0.8076923076923077	0.875	26	21	24
gsa	S3N2Bin_1000/output_recluster_bins/recluster_250.bin.3.fa	1286_BD	0.9823639235120242	0.9968522429915183	3072849	3018656	3028188	0.6666666666666666	0.5	12	8	16
gsa	S3N2Bin_1000/output_recluster_bins/recluster_86.bin.0.fa	1036683	1.0	0.9968066131236618	4819552	4819552	4834992	1.0	0.8780487804878049	72	72	82
gsa	S3N2Bin_1000/output_recluster_bins/bin.65.fa	1036635	0.9695895213563456	0.9964438094043389	3358908	3256762	3268385	0.7674418604651163	0.8918918918918919	43	33	37
gsa	S3N2Bin_1000/output_recluster_bins/recluster_95.bin.0.fa	1052968	0.9995628298408612	0.9963565253776547	3852047	3850363	3864443	0.9836065573770492	0.8823529411764706	61	60	68
gsa	S3N2Bin_1000/output_recluster_bins/recluster_56.bin.1.fa	1053040	1.0	0.9959902748377669	7113249	7113249	7141886	1.0	0.8472222222222222	61	61	72
gsa	S3N2Bin_1000/output_recluster_bins/bin.133.fa	1035969	0.9895724635705451	0.9959700476892012	3631059	3593196	3607735	0.8936170212765957	0.9130434782608695	47	42	46
gsa	S3N2Bin_1000/output_recluster_bins/recluster_95.bin.1.fa	1048966	1.0	0.9959622793320468	3651621	3651621	3666425	1.0	0.8333333333333334	25	25	30
gsa	S3N2Bin_1000/output_recluster_bins/bin.41.fa	1139_CF	0.9994767723468563	0.9958598092220126	6047081	6043917	6069044	0.9534883720930233	0.5857142857142857	43	41	70
gsa	S3N2Bin_1000/output_recluster_bins/bin.206.fa	1021_AS	0.9981912422036534	0.9958596722318239	5562381	5552320	5575404	0.9473684210526315	0.5625	19	18	32
gsa	S3N2Bin_1000/output_recluster_bins/recluster_22.bin.0.fa	1053022	1.0	0.9951318287739185	3666200	3666200	3684135	1.0	0.75	30	30	40
gsa	S3N2Bin_1000/output_recluster_bins/bin.72.fa	1030737	0.994153574374537	0.9950890151856666	3663606	3642187	3660162	0.847457627118644	0.8064516129032258	59	50	62
gsa	S3N2Bin_1000/output_recluster_bins/recluster_85.bin.2.fa	1139_CO	0.9993863479543388	0.9949627367419794	5723113	5719601	5748558	0.96	0.6153846153846154	50	48	78
gsa	S3N2Bin_1000/output_recluster_bins/recluster_64.bin.0.fa	1021_AP	0.9089344939687821	0.9949192743626291	7308640	6643075	6676999	0.47959183673469385	0.6619718309859155	98	47	71
gsa	S3N2Bin_1000/output_recluster_bins/recluster_24.bin.1.fa	1220_AR	0.9692485339477885	0.9948964482218843	4609829	4468070	4490990	0.5263157894736842	0.30303030303030304	19	10	33
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.0.fa	1139_CJ	0.9997457332135397	0.9948594697096511	4636862	4635683	4659636	0.9230769230769231	0.4	13	12	30
gsa	S3N2Bin_1000/output_recluster_bins/recluster_75.bin.2.fa	evo_1139_Y.018	0.9994422906533672	0.9948247046640878	7258261	7254213	7291951	0.9818181818181818	0.5869565217391305	55	54	92
gsa	S3N2Bin_1000/output_recluster_bins/bin.128.fa	1053037	0.9882274492066111	0.9948135792059244	2745879	2713553	2727700	0.9841269841269841	0.9323308270676691	126	124	133
gsa	S3N2Bin_1000/output_recluster_bins/bin.335.fa	evo_1286_G.010	1.0	0.9944248201084843	3122304	3122304	3139809	1.0	0.7142857142857143	15	15	21
gsa	S3N2Bin_1000/output_recluster_bins/bin.784.fa	1049035	0.988763789887064	0.9940445946986781	3171799	3136160	3154949	0.7777777777777778	0.7	27	21	30
gsa	S3N2Bin_1000/output_recluster_bins/recluster_141.bin.1.fa	1053031	1.0	0.9934990773868733	3775372	3775372	3800076	1.0	0.84375	27	27	32
gsa	S3N2Bin_1000/output_recluster_bins/recluster_85.bin.0.fa	1139_BF	0.9967930502815066	0.9931620980800095	6302874	6282661	6325917	0.9607843137254902	0.5384615384615384	51	49	91
gsa	S3N2Bin_1000/output_recluster_bins/recluster_213.bin.2.fa	1036701	1.0	0.9928379179168957	2216601	2216601	2232591	1.0	0.8392857142857143	47	47	56
gsa	S3N2Bin_1000/output_recluster_bins/bin.150.fa	1035906	0.9731840451203124	0.9922467639621777	2599982	2530261	2550032	0.6666666666666666	0.8	54	36	45
gsa	S3N2Bin_1000/output_recluster_bins/bin.357.fa	1048939	0.9837275238288842	0.9915232174108266	2981046	2932537	2957608	0.5	0.6086956521739131	28	14	23
gsa	S3N2Bin_1000/output_recluster_bins/bin.123.fa	1021_AQ	0.999351205699736	0.991289925721185	5635068	5631412	5680893	0.967741935483871	0.5263157894736842	31	30	57
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.1.fa	1287_N	1.0	0.9909383627218348	4445513	4445513	4486165	1.0	0.5510204081632653	27	27	49
gsa	S3N2Bin_1000/output_recluster_bins/recluster_64.bin.1.fa	1285_AD	1.0	0.9908861715226505	5669489	5669489	5721635	1.0	0.5426356589147286	70	70	129
gsa	S3N2Bin_1000/output_recluster_bins/recluster_98.bin.2.fa	evo_1030728.009	0.9823552879805775	0.9904836715668003	2494005	2449999	2473538	0.9661016949152542	0.8769230769230769	59	57	65
gsa	S3N2Bin_1000/output_recluster_bins/recluster_141.bin.0.fa	1053025	0.9996351412620357	0.9903727237183544	3727470	3726110	3762331	0.972972972972973	0.7659574468085106	37	36	47
gsa	S3N2Bin_1000/output_recluster_bins/recluster_98.bin.0.fa	evo_1030728.011	0.9989353856664892	0.9902819478176614	2488225	2485576	2509968	0.9666666666666667	0.8787878787878788	60	58	66
gsa	S3N2Bin_1000/output_recluster_bins/recluster_75.bin.4.fa	evo_1139_Y.035	1.0	0.9893338511713429	7076523	7076523	7152816	1.0	0.7354838709677419	114	114	155
gsa	S3N2Bin_1000/output_recluster_bins/recluster_24.bin.0.fa	1036800	0.99236537084343	0.989283478856161	4112315	4080919	4125126	0.96	0.9171974522292994	150	144	157
gsa	S3N2Bin_1000/output_recluster_bins/recluster_52.bin.1.fa	1287_BO	0.9874186783542392	0.9889852938598798	5428444	5360147	5419845	0.9493670886075949	0.5474452554744526	79	75	137
gsa	S3N2Bin_1000/output_recluster_bins/bin.35.fa	1036704	0.9928730339810817	0.9885867228143885	4133035	4103579	4150955	0.9722222222222222	0.8860759493670886	72	70	79
gsa	S3N2Bin_1000/output_recluster_bins/recluster_260.bin.3.fa	1021_P	1.0	0.9885421334768466	4347807	4347807	4398201	1.0	0.26666666666666666	8	8	30
gsa	S3N2Bin_1000/output_recluster_bins/bin.107.fa	1286_BV	0.9935900020993342	0.9883010360112353	4339471	4311655	4362694	0.9090909090909091	0.4166666666666667	22	20	48
gsa	S3N2Bin_1000/output_recluster_bins/bin.104.fa	1030782	0.9443089764761512	0.9881707142046554	2508178	2368495	2396848	0.780952380952381	0.8367346938775511	105	82	98
gsa	S3N2Bin_1000/output_recluster_bins/recluster_213.bin.1.fa	1036731	0.9963588146925623	0.9875397573723305	2450301	2441379	2472183	0.9411764705882353	0.7441860465116279	34	32	43
gsa	S3N2Bin_1000/output_recluster_bins/bin.249.fa	1036716	0.9984590913418123	0.9867304686919735	2594573	2590575	2625413	0.9772727272727273	0.7543859649122807	44	43	57
gsa	S3N2Bin_1000/output_recluster_bins/bin.92.fa	1036680	0.9972092150606543	0.9862305506416034	4423845	4411499	4473091	0.96875	0.7045454545454546	64	62	88
gsa	S3N2Bin_1000/output_recluster_bins/bin.256.fa	1053049	1.0	0.9859902046442024	6506997	6506997	6599454	1.0	0.7761194029850746	52	52	67
gsa	S3N2Bin_1000/output_recluster_bins/bin.531.fa	1030905	1.0	0.9856568294828875	3067299	3067299	3111934	1.0	0.8823529411764706	15	15	17
gsa	S3N2Bin_1000/output_recluster_bins/bin.13.fa	1035981	0.9767523396777043	0.9853590596688764	2062143	2014203	2044131	0.7878787878787878	0.8666666666666667	33	26	30
gsa	S3N2Bin_1000/output_recluster_bins/bin.89.fa	1052950	1.0	0.985293261528621	5348227	5348227	5428056	1.0	0.8407079646017699	95	95	113
