sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	CAMI_high/Maxbin2/maxbin2.225.fasta	1048999	0.9997649735478673	1.0	7935277	7933412	7933412	0.9166666666666666	1.0	12	11	11
gsa	CAMI_high/Maxbin2/maxbin2.085.fasta	1049029	0.8107244217390333	1.0	4967783	4027503	4027503	0.1326530612244898	1.0	98	13	13
gsa	CAMI_high/Maxbin2/maxbin2.114.fasta	1030746	0.9397941255235135	1.0	3775213	3547923	3547923	0.10526315789473684	1.0	19	2	2
gsa	CAMI_high/Maxbin2/maxbin2.174.fasta	1030743	0.8037823363085258	1.0	4488337	3607646	3607646	0.02727272727272727	1.0	110	3	3
gsa	CAMI_high/Maxbin2/maxbin2.157.fasta	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744	1.0	0.6666666666666666	6	6	9
gsa	CAMI_high/Maxbin2/maxbin2.002.fasta	1036647	0.9275058023613088	0.9996459696418968	4310745	3998241	3999657	0.7625	0.9838709677419355	80	61	62
gsa	CAMI_high/Maxbin2/maxbin2.019.fasta	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912	1.0	0.7692307692307693	10	10	13
gsa	CAMI_high/Maxbin2/maxbin2.170.fasta	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188	1.0	0.85	17	17	20
gsa	CAMI_high/Maxbin2/maxbin2.187.fasta	1048888	0.9978308432180911	0.9995687243282433	8652210	8633442	8637167	0.8478260869565217	0.9512195121951219	46	39	41
gsa	CAMI_high/Maxbin2/maxbin2.258.fasta	1048777	1.0	0.9994730924696263	6989952	6989952	6993637	1.0	0.8823529411764706	15	15	17
gsa	CAMI_high/Maxbin2/maxbin2.133.fasta	1036719	0.9539761821715658	0.9994511130979044	6932454	6613396	6617028	0.7934782608695652	0.9864864864864865	92	73	74
gsa	CAMI_high/Maxbin2/maxbin2.094.fasta	1048948	0.7759772104906144	0.999345263963908	4978431	3863149	3865680	0.5585585585585585	0.9841269841269841	111	62	63
gsa	CAMI_high/Maxbin2/maxbin2.211.fasta	1048582	0.9957956476328688	0.9992924866372109	5565661	5542261	5546185	0.6060606060606061	0.9523809523809523	33	20	21
gsa	CAMI_high/Maxbin2/maxbin2.147.fasta	1286_AW	1.0	0.9992239627878936	3606562	3606562	3609363	1.0	0.7777777777777778	14	14	18
gsa	CAMI_high/Maxbin2/maxbin2.279.fasta	1048912	1.0	0.9990842712637128	5610058	5610058	5615200	1.0	0.8333333333333334	10	10	12
gsa	CAMI_high/Maxbin2/maxbin2.098.fasta	1285_L	0.9863914190574731	0.9990490972658564	5604699	5528427	5533689	0.84375	0.7105263157894737	32	27	38
gsa	CAMI_high/Maxbin2/maxbin2.026.fasta	1053046	0.9956302200356755	0.9990255230077307	5398670	5375079	5380322	0.9230769230769231	0.9230769230769231	26	24	26
gsa	CAMI_high/Maxbin2/maxbin2.314.fasta	1048855	0.8982551993881621	0.9989833383142791	5269370	4733239	4738056	0.5510204081632653	0.9310344827586207	49	27	29
gsa	CAMI_high/Maxbin2/maxbin2.118.fasta	1036563	0.993808939013261	0.998898834905855	3727794	3704715	3708799	0.5	0.8	24	12	15
gsa	CAMI_high/Maxbin2/maxbin2.268.fasta	1030872	0.9961104514186562	0.998869917048626	4761478	4742958	4748324	0.8888888888888888	0.8888888888888888	27	24	27
gsa	CAMI_high/Maxbin2/maxbin2.054.fasta	1036797	0.9946693902519052	0.9988637571126342	4403999	4380523	4385506	0.8421052631578947	0.8888888888888888	19	16	18
gsa	CAMI_high/Maxbin2/maxbin2.173.fasta	1285_H	1.0	0.9987561880744987	3626258	3626258	3630774	1.0	0.7	7	7	10
gsa	CAMI_high/Maxbin2/maxbin2.177.fasta	1048924	0.9997122367218864	0.9986955846411828	5042339	5040888	5047472	0.9444444444444444	0.85	18	17	20
gsa	CAMI_high/Maxbin2/maxbin2.149.fasta	1036617	0.9131048332211704	0.9986940667978601	3159094	2884584	2888356	0.5116279069767442	0.9166666666666666	43	22	24
