,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203), 5449,103,57, 90,13, 0,0,0, 0, 16.14,0.00, 0.00,994,950,186,genus,0.89,0.85,0.76,0.05,0.1,0.91,0.77,False
bin.10,o__Clostridiales (UID1226),155, 278, 158, 47, 227, 4,0,0, 0, 88.65,1.58, 0.00,2963,2758,267,order,0.93,0.87,0.68,0.08,0.17,0.82,0.71,False
bin.11, k__Bacteria (UID203), 5449,103,57, 47,56, 0,0,0, 0, 84.21,0.00, 0.00,2100,2037,114,class,0.97,0.95,0.32,0.09,0.19,0.93,0.88,True
bin.12, o__Lactobacillales (UID544),293, 475, 267, 77, 395, 3,0,0, 0, 81.63,0.44, 0.00,2321,2187,329,order,0.98,0.93,0.92,0.02,0.05,0.95,0.88,False
bin.13, f__Lachnospiraceae (UID1256),33, 333, 171, 79, 213, 41, 0,0, 0, 75.83,8.68,26.83,2072,2034,49,genus,0.88,0.86,0.33,0.13,0.29,0.96,0.82,True
bin.14, f__Lachnospiraceae (UID1256),33, 333, 171,292,41, 0,0,0, 0, 12.28,0.00, 0.00,276,270,5,class,1.0,0.97,0.44,0.03,0.05,0.79,0.77,True
bin.15,o__Bacteroidales (UID2657),160, 491, 268,156, 335, 0,0,0, 0, 63.83,0.00, 0.00,1450,1391,67,kingdom,1.0,0.96,0.0,0.0,0.0,0.8,0.76,True
bin.16, root (UID1),5656, 56,24, 53,3,0,0,0, 0, 12.50,0.00, 0.00,1264,1257,22,genus,0.93,0.93,0.03,0.31,0.75,0.99,0.92,True
bin.17, k__Bacteria (UID203), 5449,104,58, 96,8,0,0,0, 0, 13.79,0.00, 0.00,301,291,58,kingdom,1.0,0.97,0.0,0.0,0.0,0.83,0.8,True
bin.18, k__Bacteria (UID203), 5449,103,58, 60,43, 0,0,0, 0, 65.52,0.00, 0.00,1298,1200,186,class,0.97,0.9,0.34,0.12,0.28,0.64,0.57,True
bin.19, o__Lactobacillales (UID374),471, 350, 191, 59, 291, 0,0,0, 0, 92.15,0.00, 0.00,1605,1558,37,kingdom,1.0,0.97,0.0,0.0,0.0,0.91,0.88,True
bin.2,k__Bacteria (UID203), 5449,103,57, 86,17, 0,0,0, 0, 24.56,0.00, 0.00,434,420,5,class,0.98,0.95,0.1,0.03,0.07,0.76,0.72,True
bin.20, k__Bacteria (UID203), 5449,103,57, 20,59, 24, 0,0, 0, 89.15, 18.42,66.67,3845,3704,318,class,0.97,0.94,0.41,0.04,0.08,0.76,0.71,True
bin.21, root (UID1),5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,347,206,57,order,0.87,0.52,0.57,0.59,2.0,0.63,0.33,False
bin.22,o__Clostridiales (UID1212),172, 263, 149,151, 111, 1,0,0, 0, 47.20,0.13,100.00,913,822,152,family,0.89,0.8,0.11,0.26,0.75,0.6,0.48,True
bin.23,o__Clostridiales (UID1226),155, 278, 158, 44, 219, 15, 0,0, 0, 94.56,5.27,20.00,2247,2176,104,genus,0.82,0.79,0.16,0.41,1.6,0.77,0.61,True
bin.24, o__Selenomonadales (UID1024),64, 334, 167, 14, 317, 3,0,0, 0, 95.13,1.50, 0.00,1579,1520,136,order,0.97,0.93,0.21,0.09,0.19,0.75,0.7,True
bin.25, k__Bacteria (UID203), 5449,104,58, 92,12, 0,0,0, 0, 15.52,0.00, 0.00,294,262,32,family,0.95,0.85,0.19,0.18,0.45,0.69,0.59,True
