sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/bin.14.fa	1049005	1.0	1.0	4107833	4107833	4107833	1.0	1.0	23	23	23
gsa	S3N2Bin_1000/output_recluster_bins/bin.131.fa	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	S3N2Bin_1000/output_recluster_bins/bin.8.fa	1035900	0.9993794056634796	0.9995179355055681	7280118	7275600	7279109	0.9787234042553191	0.9787234042553191	94	92	94
gsa	S3N2Bin_1000/output_recluster_bins/bin.73.fa	1049089	1.0	0.9979531342971153	3117894	3117894	3124289	1.0	0.8148148148148148	22	22	27
gsa	S3N2Bin_1000/output_recluster_bins/bin.132.fa	1220_AD	0.9973296345635784	0.9973502646718715	3480797	3471502	3480725	0.9666666666666667	0.7073170731707317	30	29	41
gsa	S3N2Bin_1000/output_recluster_bins/bin.59.fa	1036539	0.9901899204050207	0.997173958663343	4707709	4661526	4674737	0.9423076923076923	0.875	52	49	56
gsa	S3N2Bin_1000/output_recluster_bins/bin.161.fa	1036554	1.0	0.9966485510997142	2647560	2647560	2656463	1.0	0.76	19	19	25
gsa	S3N2Bin_1000/output_recluster_bins/bin.118.fa	1030878	0.979492868585935	0.9964409456385847	3345129	3276530	3288233	0.5161290322580645	0.7272727272727273	31	16	22
gsa	S3N2Bin_1000/output_recluster_bins/bin.28.fa	1030836	0.9995431785464507	0.9953387054259878	4877179	4874951	4897781	0.9827586206896551	0.8260869565217391	58	57	69
gsa	S3N2Bin_1000/output_recluster_bins/recluster_10.bin.1.fa	1036608	0.9751943253953773	0.9948313198732486	3233494	3153285	3169668	0.9696969696969697	0.8311688311688312	66	64	77
gsa	S3N2Bin_1000/output_recluster_bins/bin.84.fa	1030752	1.0	0.9947957236717395	6245051	6245051	6277722	1.0	0.7857142857142857	66	66	84
gsa	S3N2Bin_1000/output_recluster_bins/bin.36.fa	1030755	0.9969896484938681	0.9940772755944447	4601456	4587604	4614937	0.9733333333333334	0.8390804597701149	75	73	87
gsa	S3N2Bin_1000/output_recluster_bins/bin.66.fa	1139_AG	1.0	0.9919294436391811	7219077	7219077	7277813	1.0	0.43283582089552236	29	29	67
gsa	S3N2Bin_1000/output_recluster_bins/bin.29.fa	1036755	0.9814137871927202	0.9894246918500385	6516497	6395380	6463736	0.96	0.8807339449541285	100	96	109
gsa	S3N2Bin_1000/output_recluster_bins/recluster_10.bin.0.fa	1048783	0.978705343176357	0.9861749459784755	2442068	2390065	2423571	0.9152542372881356	0.75	59	54	72
gsa	S3N2Bin_1000/output_recluster_bins/bin.52.fa	1036641	1.0	0.983140892961339	2586334	2586334	2630685	1.0	0.8389261744966443	125	125	149
gsa	S3N2Bin_1000/output_recluster_bins/bin.6.fa	1036707	0.9956034237932783	0.9682023887975081	3894394	3877272	4004609	0.9869918699186991	0.7986842105263158	615	607	760
gsa	S3N2Bin_1000/output_recluster_bins/bin.1.fa	1036728	1.0	0.9586952449521186	1929448	1929448	2012577	1.0	0.788235294117647	268	268	340
gsa	S3N2Bin_1000/output_recluster_bins/bin.0.fa	1036743	0.99855148844899	0.8952067774244328	4570899	4564278	5098574	0.9975903614457832	0.6543730242360379	1245	1242	1898
gsa	S3N2Bin_1000/output_recluster_bins/bin.3.fa	1365_A	0.9977058184273171	0.8304873328130282	5840427	5827028	7016396	0.9946396664681358	0.5800625217089267	1679	1670	2879
gsa	S3N2Bin_1000/output_recluster_bins/bin.27.fa	1048993	0.9991206821878693	0.6082125873756362	2211942	2209997	3633593	0.9988009592326139	0.33480707395498394	834	833	2488
