,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 50,18, 36, 0,0, 0, 79.66, 53.45,86.11,3331,3172,143,family,0.96,0.91,0.27,0.03,0.06,0.78,0.71,True
bin.10, root (UID1), 5656, 56,24, 54,2,0,0,0, 0,8.33,0.00, 0.00,542,529,17,family,0.99,0.96,0.51,0.03,0.05,0.93,0.9,False
bin.11, k__Bacteria (UID203),5449,104,58, 53,13, 37, 1,0, 0, 70.69, 58.62,92.50,2922,2735,229,class,0.95,0.89,0.3,0.03,0.06,0.75,0.66,True
bin.12, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,225,217,40,genus,0.87,0.84,0.69,0.03,0.05,0.68,0.57,False
bin.13, k__Bacteria (UID203),5449,104,58, 87,17, 0,0,0, 0, 25.86,0.00, 0.00,442,409,16,family,0.97,0.9,0.19,0.04,0.09,0.7,0.63,True
bin.14, o__Selenomonadales (UID1024), 64, 334, 167, 9,321, 4,0,0, 0, 98.35,1.70,25.00,1639,1571,70,family,0.92,0.88,0.24,0.05,0.11,0.75,0.66,True
bin.15, root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,402,395,94,genus,0.8,0.79,0.16,0.45,1.99,0.75,0.59,True
bin.16, k__Bacteria (UID203),5449,104,58, 77,27, 0,0,0, 0, 39.66,0.00, 0.00,824,790,34,family,0.98,0.94,0.35,0.04,0.08,0.82,0.77,True
bin.17, root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,424,419,11,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
bin.18, k__Bacteria (UID203),5449,104,58, 84,20, 0,0,0, 0, 29.31,0.00, 0.00,301,294,58,kingdom,1.0,0.98,0.0,0.0,0.0,0.73,0.71,True
bin.19, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 18.97,0.00, 0.00,275,258,14,family,0.93,0.87,0.26,0.08,0.18,0.71,0.62,True
bin.2,k__Bacteria (UID203),5449,104,58, 88,16, 0,0,0, 0, 22.41,0.00, 0.00,766,711,42,genus,0.92,0.86,0.12,0.28,0.81,0.71,0.61,True
bin.20, k__Bacteria (UID203),5449,104,58, 52,52, 0,0,0, 0, 73.07,0.00, 0.00,1975,1893,95,kingdom,1.0,0.96,0.0,0.0,0.0,0.87,0.83,True
bin.21, k__Bacteria (UID203),5449,104,58, 84,20, 0,0,0, 0, 27.59,0.00, 0.00,595,534,26,family,0.93,0.83,0.24,0.11,0.24,0.71,0.59,True
bin.22,g__Lactobacillus (UID377), 91, 430, 154,246, 184, 0,0,0, 0, 39.72,0.00, 0.00,684,681,25,kingdom,1.0,1.0,0.0,0.0,0.0,0.96,0.95,True
bin.23, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,416,403,34,order,0.98,0.95,0.4,0.23,0.54,0.96,0.91,True
bin.24, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,301,108,17,kingdom,1.0,0.36,0.0,0.06,0.12,0.4,0.14,True
bin.25, k__Bacteria (UID203),5449,104,58, 66,38, 0,0,0, 0, 56.90,0.00, 0.00,1352,1251,46,genus,0.89,0.82,0.3,0.05,0.1,0.75,0.61,True
bin.26, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,774,578,154,genus,0.74,0.56,0.47,0.21,0.57,0.62,0.35,False
bin.27,k__Bacteria (UID2372),131, 177, 106, 42, 129, 6,0,0, 0, 86.79,1.62,16.67,1726,1504,57,order,0.94,0.82,0.1,0.24,0.63,0.61,0.5,True
bin.28, k__Bacteria (UID203),5449,104,58, 90,14, 0,0,0, 0, 18.97,0.00, 0.00,655,577,23,genus,0.92,0.81,0.17,0.31,0.98,0.69,0.56,True
bin.29, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,323,302,34,genus,0.87,0.82,0.93,0.06,0.13,0.95,0.78,False
bin.3,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,341,111,2,kingdom,1.0,0.33,0.0,0.05,0.09,0.38,0.12,True
bin.30,o__Bacteroidales (UID2617), 213, 406, 265, 51, 351, 4,0,0, 0, 91.98,0.94, 0.00,1904,1771,141,genus,0.88,0.82,0.11,0.31,0.94,0.65,0.54,True
bin.31,o__Clostridiales (UID1226), 155, 274, 157, 79, 187, 7,1,0, 0, 80.69,4.09,60.00,2190,2132,244,genus,0.82,0.8,0.25,0.14,0.34,0.78,0.62,True
bin.32, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 17.59,0.00, 0.00,262,261,61,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True
bin.33, k__Bacteria (UID203),5449,102,58, 87,15, 0,0,0, 0, 21.55,0.00, 0.00,579,534,142,kingdom,1.0,0.92,0.0,0.0,0.0,0.97,0.89,True
bin.34,o__Clostridiales (UID1226), 155, 278, 158, 31, 243, 4,0,0, 0, 84.18,1.52, 0.00,1905,1851,79,genus,0.86,0.83,0.05,0.21,0.55,0.78,0.65,True
bin.35, k__Bacteria (UID203),5449,104,58, 81,23, 0,0,0, 0, 30.34,0.00, 0.00,666,616,42,family,0.94,0.87,0.19,0.32,0.82,0.67,0.59,True
bin.36, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,235,44,6,kingdom,1.0,0.19,0.0,0.07,0.15,0.35,0.07,True
bin.37,o__Bacteroidales (UID2657), 160, 491, 268,258, 232, 1,0,0, 0, 41.19,0.37,100.00,821,785,56,kingdom,1.0,0.96,0.0,0.0,0.0,0.81,0.77,True
bin.38, k__Bacteria (UID203),5449,104,58, 59,45, 0,0,0, 0, 67.59,0.00, 0.00,1490,1423,129,genus,0.98,0.94,0.29,0.02,0.04,0.94,0.89,True
bin.39, k__Bacteria (UID203),5449,104,58, 76,28, 0,0,0, 0, 43.10,0.00, 0.00,1233,1169,198,family,0.93,0.88,0.38,0.04,0.08,0.77,0.68,True
bin.4,root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,214,204,7,family,0.94,0.89,0.27,0.05,0.1,0.86,0.77,True
bin.40, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,220,76,29,kingdom,1.0,0.35,0.0,0.03,0.05,0.49,0.17,True
bin.41, k__Bacteria (UID203),5449,103,57, 82,21, 0,0,0, 0, 22.73,0.00, 0.00,470,429,119,phylum,0.96,0.88,0.59,0.1,0.23,0.71,0.62,False
bin.42, k__Bacteria (UID203),5449,104,58, 74,27, 3,0,0, 0, 44.12,3.45,100.00,1136,1074,240,order,0.97,0.92,0.28,0.1,0.21,0.68,0.63,True
bin.43, k__Bacteria (UID203),5449,104,58, 99,5,0,0,0, 0,8.62,0.00, 0.00,197,187,11,kingdom,1.0,0.95,0.0,0.0,0.0,0.7,0.66,True
bin.44,k__Bacteria (UID2372),131, 177, 106, 12, 161, 4,0,0, 0, 92.45,1.35, 0.00,2308,2000,217,genus,0.74,0.64,0.24,0.33,1.09,0.67,0.43,True
bin.45, p__Proteobacteria (UID3887), 1487,255, 158, 41, 213, 1,0,0, 0, 82.28,0.11, 0.00,1386,1341,49,family,0.98,0.95,0.17,0.1,0.22,0.99,0.93,True
bin.46,o__Bacteroidales (UID2621), 198, 427, 260,113, 297, 17, 0,0, 0, 73.10,1.62,29.41,2025,1923,319,genus,0.9,0.86,0.32,0.19,0.44,0.76,0.65,True
bin.47, k__Bacteria (UID203),5449,103,57, 68,34, 1,0,0, 0, 52.63,1.75,100.00,1163,1101,124,genus,0.81,0.77,0.65,0.1,0.22,0.81,0.63,False
bin.48,k__Bacteria (UID2329),174, 149,89, 6,131, 12, 0,0, 0, 94.38,9.93, 8.33,2054,1924,244,phylum,0.98,0.92,0.49,0.1,0.22,0.76,0.7,False
bin.49, p__Firmicutes (UID1022), 100, 295, 158,193, 102, 0,0,0, 0, 35.00,0.00, 0.00,899,873,56,family,0.94,0.91,0.95,0.04,0.09,0.84,0.76,False
bin.5, k__Bacteria (UID2328),3167,126,75, 5,119, 2,0,0, 0, 95.33,0.56,50.00,1199,1040,110,genus,0.62,0.54,0.13,0.33,1.07,0.54,0.29,True
bin.50, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,764,671,88,genus,0.7,0.62,0.33,0.32,0.84,0.68,0.42,True
bin.51, k__Bacteria (UID203),5449,103,57, 71,32, 0,0,0, 0, 38.20,0.00, 0.00,952,925,197,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True
bin.52, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,372,316,51,phylum,0.97,0.82,0.7,0.09,0.19,0.63,0.52,False
bin.53, k__Bacteria (UID203),5449,104,58, 78,25, 0,1,0, 0, 39.66,3.45,33.33,1383,1319,70,family,0.97,0.92,0.21,0.06,0.13,0.8,0.74,True
bin.54, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 17.24,0.00, 0.00,268,254,28,genus,0.66,0.63,0.16,0.24,0.69,0.58,0.36,True
bin.55,o__Clostridiales (UID1120), 304, 249, 142, 68, 180, 1,0,0, 0, 89.08,0.35, 0.00,2940,2633,366,genus,0.83,0.74,0.81,0.06,0.13,0.95,0.71,False
bin.56,o__Clostridiales (UID1226), 155, 274, 157, 53, 139, 65, 13, 2, 2, 88.38, 48.48,44.12,4184,4060,613,genus,0.87,0.84,0.4,0.1,0.23,0.91,0.77,True
bin.57, k__Bacteria (UID203),5449,104,58, 45,11, 32, 13, 3, 0, 84.14, 101.72, 40.45,6152,5795,555,genus,0.9,0.84,0.53,0.03,0.07,0.85,0.72,False
bin.58,o__Bacteroidales (UID2657), 160, 491, 268,184, 284, 23, 0,0, 0, 65.48,4.50,30.43,1711,1652,51,kingdom,1.0,0.97,0.0,0.0,0.0,0.92,0.89,True
bin.59, g__Prevotella (UID2724),55, 567, 296,472,92, 3,0,0, 0, 12.46,0.68, 0.00,284,264,12,genus,0.93,0.87,0.28,0.31,0.8,0.89,0.77,True
bin.6,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,375,257,65,genus,0.66,0.45,0.44,0.15,0.35,0.64,0.29,True
bin.60, c__Gammaproteobacteria (UID4201),1164,271, 170, 34, 237, 0,0,0, 0, 94.23,0.00, 0.00,1912,1724,169,phylum,0.98,0.89,0.24,0.06,0.13,0.69,0.61,True
bin.61,k__Bacteria (UID2329),174, 149,89, 55,89, 5,0,0, 0, 85.39,4.49, 0.00,1777,1715,61,genus,0.93,0.9,0.17,0.04,0.08,0.73,0.66,True
bin.62,k__Bacteria (UID2372),131, 177, 106, 52, 123, 2,0,0, 0, 86.93,1.89, 0.00,1847,1590,141,class,0.96,0.82,0.18,0.21,0.55,0.6,0.5,True
bin.63, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,606,540,83,phylum,0.97,0.87,0.37,0.14,0.34,0.61,0.53,True
bin.64,o__Clostridiales (UID1212), 172, 261, 147,103, 158, 0,0,0, 0, 69.80,0.00, 0.00,1778,1734,261,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.92,True
bin.65,o__Clostridiales (UID1226), 155, 278, 158, 47, 227, 4,0,0, 0, 87.12,2.53,50.00,2221,2172,194,genus,0.91,0.89,0.22,0.06,0.12,0.84,0.75,True
