,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001, k__Bacteria (UID203),5449,103,58, 73,24, 4,1,1,0, 36.16, 13.79, 7.69,971,868,361,family,0.57,0.51,0.99,0.5,1.59,0.79,0.4,False
maxbin2.002,p__Cyanobacteria (UID2143), 129, 472, 368,433,32, 4,2,1,0,6.53,2.85,18.75,1580,720,345,kingdom,1.0,0.46,0.27,0.04,0.08,0.48,0.22,True
maxbin2.003,k__Bacteria (UID3187),2258,190, 119, 15, 138, 27, 10, 0,0, 89.08, 29.01, 1.75,2128,1939,483,family,0.59,0.54,0.86,0.6,2.02,0.67,0.36,False
maxbin2.004, k__Bacteria (UID203),5449,104,58, 42,31, 21, 6,4,0, 49.94, 32.42, 6.35,2514,2081,768,class,0.81,0.67,0.69,0.45,1.44,0.63,0.42,False
maxbin2.005, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,2077,855,378,kingdom,1.0,0.41,0.0,0.04,0.07,0.45,0.19,True
maxbin2.006, k__Bacteria (UID203),5449,103,57, 53,29, 12, 8,0,1, 60.61, 50.88, 0.00,3123,2870,942,phylum,0.91,0.84,0.82,0.24,0.69,0.63,0.52,False
maxbin2.007, k__Bacteria (UID203),5449,102,58, 26,29, 21, 14, 4,8, 70.74, 48.93, 8.72,1610,1516,556,genus,0.44,0.42,0.61,0.42,1.7,0.65,0.27,False
maxbin2.008, p__Euryarchaeota (UID3), 148, 188, 125, 21, 160, 7,0,0,0, 85.20,2.88,85.71,1503,1330,158,phylum,0.94,0.83,0.41,0.05,0.1,0.62,0.51,True
maxbin2.009, k__Bacteria (UID203),5449, 99,53, 54,13, 15, 13, 1,3, 68.27, 84.91, 3.33,1398,1302,479,phylum,0.93,0.86,0.7,0.08,0.18,0.57,0.5,False
maxbin2.010, k__Bacteria (UID203),5449, 99,53, 59,19, 11, 7,2,1, 56.69, 57.55, 0.00,3036,2845,1183,family,0.81,0.76,0.92,0.26,0.79,0.73,0.56,False
maxbin2.011,k__Archaea (UID2),207, 149, 107, 34,74, 19, 9,2,11,73.29, 39.80, 3.59,3269,2656,980,genus,0.55,0.44,0.98,0.32,0.91,0.83,0.37,False
maxbin2.012,k__Bacteria (UID2495),2993,139,83, 77,38, 13, 9,2,0, 47.64, 36.14, 5.77,4050,3467,1249,genus,0.5,0.43,0.8,0.78,6.02,0.72,0.31,False
maxbin2.013,o__Cytophagales (UID2936), 47, 454, 336, 4,435, 15, 0,0,0, 98.81,3.30, 0.00,5550,5065,96,phylum,0.94,0.86,0.31,0.04,0.07,0.58,0.5,True
maxbin2.014, k__Bacteria (UID203),5449, 99,53, 48,21, 9,9,8,4, 71.77, 112.64,3.23,4734,4385,1569,family,0.65,0.6,0.88,0.55,2.8,0.72,0.43,False
maxbin2.015, k__Bacteria (UID203),5449,102,58, 96,6,0,0,0,0,3.21,0.00, 0.00,3537,1425,629,kingdom,1.0,0.4,0.2,0.05,0.11,0.46,0.18,True
maxbin2.016, c__Gammaproteobacteria (UID4201),1164,275, 174,200,60, 12, 3,0,0, 24.81,6.19, 9.52,609,572,211,phylum,0.93,0.88,0.75,0.09,0.19,0.6,0.52,False
maxbin2.017, k__Bacteria (UID203),5449,104,58, 37,30, 22, 11, 2,2, 52.51, 31.57, 3.45,1075,1006,377,genus,0.47,0.44,0.55,0.3,0.98,0.64,0.28,False
maxbin2.018, k__Bacteria (UID203),5449, 99,53, 55,21, 17, 3,1,2, 41.84, 24.05, 3.85,501,452,181,class,0.83,0.75,0.81,0.52,1.34,0.66,0.49,False
maxbin2.019, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,1568,729,505,kingdom,0.98,0.46,0.0,0.0,0.0,0.42,0.19,True
maxbin2.020, k__Bacteria (UID203),5449,104,58, 66,16, 9,7,5,1, 32.92, 20.63, 5.71,978,901,410,kingdom,1.0,0.92,0.85,0.02,0.04,0.62,0.58,False
maxbin2.021,k__Bacteria (UID2495),2993,147,91, 74,52, 16, 4,1,0, 38.21, 12.16,17.65,1132,1050,355,class,0.85,0.78,0.84,0.44,1.47,0.68,0.53,False
maxbin2.022, k__Bacteria (UID203),5449,102,58, 69,18, 8,5,0,2, 50.00, 43.10, 8.33,973,891,384,family,0.55,0.5,0.41,0.49,2.35,0.6,0.3,True
maxbin2.023, k__Bacteria (UID203),5449,104,58, 25,48, 16, 10, 4,1, 65.17, 25.22,32.50,2986,2783,1086,kingdom,1.0,0.93,0.87,0.04,0.07,0.73,0.68,False
maxbin2.024, k__Bacteria (UID203),5449,104,58, 66,21, 11, 4,2,0, 38.82, 18.55,14.29,3130,2892,1103,class,0.86,0.79,0.78,0.58,1.93,0.67,0.53,False
maxbin2.025,k__Bacteria (UID3187),2258,190, 119, 94,89, 7,0,0,0, 47.01,5.04,71.43,2865,2439,1279,class,0.85,0.73,0.48,0.63,2.45,0.58,0.42,False
maxbin2.026, c__Gammaproteobacteria (UID4201),1164,275, 174,239,28, 6,2,0,0,5.74,3.23, 0.00,329,179,96,class,0.91,0.5,0.73,0.58,3.31,0.65,0.32,False
maxbin2.027,k__Bacteria (UID2495),2993,139,83, 81,46, 9,2,0,1, 45.88, 16.94, 8.00,1438,1360,522,phylum,0.97,0.92,0.96,0.18,0.43,0.7,0.64,False
maxbin2.028, p__Euryarchaeota (UID3), 148, 188, 125, 17, 154, 15, 2,0,0, 88.00,6.76, 4.76,2363,2004,436,genus,0.77,0.65,0.99,0.11,0.26,0.61,0.4,False
maxbin2.029, k__Bacteria (UID203),5449,103,57, 64,24, 9,4,2,0, 51.88, 38.60, 3.03,3743,3464,1213,class,0.85,0.79,0.82,0.59,2.54,0.65,0.51,False
maxbin2.030, k__Bacteria (UID203),5449,104,58, 46,22, 9,9,10, 8, 34.01, 42.24, 4.20,555,491,211,class,0.87,0.77,0.73,0.32,1.09,0.68,0.52,False
maxbin2.031, c__Gammaproteobacteria (UID4201),1164,275, 174,106, 103, 62, 4,0,0, 59.63, 27.24,32.43,1215,1094,140,phylum,0.94,0.84,0.41,0.05,0.11,0.51,0.43,True
maxbin2.032, k__Bacteria (UID203),5449,104,58, 88,15, 1,0,0,0, 25.00,1.72, 0.00,818,592,193,phylum,0.89,0.65,0.55,0.25,0.7,0.52,0.33,False
maxbin2.033, k__Bacteria (UID203),5449,104,58, 53,21, 20, 7,3,0, 73.62, 68.97, 0.00,4532,4135,1328,family,0.67,0.61,0.7,0.68,4.72,0.61,0.38,False
maxbin2.034,k__Bacteria (UID2495),2993,139,83, 75,35, 16, 8,2,3, 45.53, 50.21, 3.23,1306,1238,519,order,0.78,0.74,0.96,0.22,0.58,0.7,0.52,False
maxbin2.035, k__Bacteria (UID203),5449,104,58,103,1,0,0,0,0,1.72,0.00, 0.00,2499,1004,446,kingdom,1.0,0.4,0.13,0.05,0.11,0.45,0.18,True
maxbin2.036, k__Bacteria (UID203),5449, 99,53, 80,10, 5,4,0,0, 23.91, 22.64,17.65,1743,1623,652,order,0.9,0.84,0.9,0.05,0.11,0.65,0.55,False
maxbin2.037,k__Bacteria (UID2565),2921,152,93, 75,40, 24, 9,3,1, 54.22, 47.21, 4.76,3793,3527,1340,phylum,0.93,0.87,0.95,0.4,0.99,0.66,0.58,False
maxbin2.038, k__Bacteria (UID203),5449, 99,53, 62,22, 8,4,2,1, 50.46, 46.23, 0.00,4419,4056,1527,order,0.78,0.72,0.94,0.3,0.93,0.67,0.48,False
maxbin2.039, k__Bacteria (UID203),5449, 99,53, 72,14, 6,6,1,0, 38.42, 28.04, 0.00,1018,939,408,class,0.87,0.8,0.89,0.54,2.01,0.61,0.49,False
maxbin2.040, k__Bacteria (UID203),5449,104,58,102,2,0,0,0,0,3.45,0.00, 0.00,2472,1053,652,kingdom,0.98,0.42,0.0,0.0,0.0,0.42,0.18,True
maxbin2.041, k__Bacteria (UID203),5449,104,58, 63,24, 10, 7,0,0, 36.33, 18.48,19.35,2043,1915,739,class,0.85,0.8,0.87,0.42,1.56,0.68,0.54,False
