user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
TARA_004_SRF_0.22-1.6_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	100.0	1.0	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	100.0	1.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.35	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.56	0.92	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.56	0.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002689625.1, s__UBA8309 sp002689625, 95.0, 99.26, 0.81; GCA_002683535.1, s__UBA8309 sp002683535, 95.0, 88.53, 0.85; GCA_002686685.1, s__UBA8309 sp002686685, 95.0, 79.01, 0.51; GCA_001627655.1, s__UBA8309 sp001627655, 95.0, 78.22, 0.38; GCA_002695585.1, s__UBA8309 sp002695585, 95.0, 78.18, 0.39; GCA_002457745.1, s__UBA8309 sp002457745, 95.0, 78.16, 0.39; GCA_004213025.1, s__UBA8309 sp004213025, 95.0, 78.11, 0.43; GCA_002731315.1, s__UBA8309 sp002731315, 95.0, 77.83, 0.36	91.79	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.10	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.59	0.9	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.59	0.9	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002323515.1, s__UBA1275 sp002323515, 95.0, 93.61, 0.82; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 81.38, 0.53; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 81.06, 0.71; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 80.87, 0.6	78.61	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.29	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.67	0.98	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.67	0.98	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.41	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	GCA_003533785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	99.54	0.84	GCA_003533785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	99.54	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.12	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.59	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.89	0.95	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.89	0.95	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001627925.1, s__MED-G52 sp001627925, 95.0, 94.9, 0.85; GCA_002704465.1, s__MED-G52 sp002704465, 95.0, 80.57, 0.69; GCA_002457115.1, s__MED-G52 sp002457115, 95.0, 79.65, 0.69; GCA_002682975.1, s__MED-G52 sp002682975, 95.0, 78.95, 0.6; GCA_002711145.1, s__MED-G52 sp002711145, 95.0, 78.94, 0.61; GCA_001627375.1, s__MED-G52 sp001627375, 95.0, 76.47, 0.05; GCA_002171355.1, s__MED-G52 sp002171355, 95.0, 76.28, 0.04; GCA_003332035.1, s__MED-G52 sp003332035, 95.0, 76.02, 0.05	79.54	11	N/A	N/A
TARA_009_SRF_0.22-1.6_bin.112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	GCA_002457135.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	99.62	0.98	GCA_002457135.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	99.62	0.98	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.17	11	N/A	N/A
TARA_009_SRF_0.22-1.6_bin.122	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.69	0.97	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.69	0.97	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	82.46	11	N/A	N/A
TARA_009_SRF_0.22-1.6_bin.130	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__TMED48 sp002338445	GCA_002338445.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__TMED48 sp002338445	98.98	0.88	GCA_002338445.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__TMED48 sp002338445	98.98	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002720735.1, s__TMED48 sp002720735, 95.0, 92.83, 0.84; GCA_002691825.1, s__TMED48 sp002691825, 95.0, 82.31, 0.76; GCA_002689135.1, s__TMED48 sp002689135, 95.0, 82.26, 0.66; GCA_002731695.1, s__TMED48 sp002731695, 95.0, 81.95, 0.63; GCA_002591625.1, s__TMED48 sp002591625, 95.0, 76.69, 0.03; GCA_003509025.1, s__TMED48 sp003509025, 95.0, 76.3, 0.02; GCA_002692165.1, s__TMED48 sp002692165, 95.0, 75.79, 0.01; GCA_002339165.1, s__TMED48 sp002339165, 95.0, 75.78, 0.01; GCA_002701765.1, s__TMED48 sp002701765, 95.0, 75.72, 0.02	97.88	11	N/A	N/A
TARA_009_SRF_0.22-1.6_bin.135	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	1.0	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	1.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	79.68	11	N/A	N/A
