,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,root (UID1), 5656, 56,24, 54,2, 0,0,0, 0,8.33,0.00, 0.00,337,323,2,class,1.0,0.96,0.09,0.02,0.04,0.72,0.69,True
bin.10,o__Clostridiales (UID1226), 155, 278, 158, 75, 203,0,0,0, 0, 80.25,0.00, 0.00,1698,1651,48,genus,0.92,0.9,0.2,0.12,0.28,0.95,0.86,True
bin.11, k__Bacteria (UID203),5449,104,58, 79,25,0,0,0, 0, 37.93,0.00, 0.00,469,416,6,family,0.92,0.81,0.74,0.03,0.05,0.94,0.76,False
bin.12, k__Bacteria (UID203),5449,104,58, 83,21,0,0,0, 0, 28.07,0.00, 0.00,943,925,259,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.13, root (UID1), 5656, 56,24, 54,2, 0,0,0, 0,8.33,0.00, 0.00,235,230,17,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True
bin.14, k__Bacteria (UID203),5449,102,56, 98,4, 0,0,0, 0,6.25,0.00, 0.00,250,245,57,genus,0.93,0.91,0.82,0.03,0.05,0.83,0.76,False
bin.15,o__Bacteroidales (UID2621), 198, 427, 260, 6,393,28, 0,0, 0, 97.88,6.73,14.29,3445,3372,151,genus,0.96,0.94,0.7,0.08,0.17,0.97,0.91,False
bin.16, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,289,262,45,class,0.95,0.86,0.63,0.03,0.06,0.79,0.68,False
bin.17, k__Bacteria (UID203),5449,104,58, 88,16,0,0,0, 0, 19.31,0.00, 0.00,571,554,12,family,0.94,0.91,0.43,0.03,0.06,0.96,0.87,True
bin.18, p__Actinobacteria (UID2112),31, 211, 124, 46, 165,0,0,0, 0, 77.42,0.00, 0.00,1336,1314,22,order,0.97,0.95,0.07,0.03,0.06,0.94,0.9,True
bin.19, k__Bacteria (UID203),5449,104,58, 98,6, 0,0,0, 0,8.62,0.00, 0.00,1099,1078,26,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.2, o__Clostridiales (UID1212), 172, 263, 149, 67, 196,0,0,0, 0, 79.53,0.00, 0.00,1761,1701,186,class,0.98,0.95,0.42,0.2,0.47,0.91,0.86,True
bin.20, k__Bacteria (UID203),5449,103,57, 84,19,0,0,0, 0, 25.04,0.00, 0.00,821,787,185,family,0.96,0.92,0.55,0.19,0.48,0.87,0.8,False
bin.21, k__Bacteria (UID203),5449,102,56, 94,8, 0,0,0, 0, 10.71,0.00, 0.00,376,374,51,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.96,True
bin.22, f__Lachnospiraceae (UID1255), 90, 354, 174, 50, 109, 193, 2,0, 0, 95.98, 60.80, 2.51,3221,3151,169,genus,0.94,0.92,0.91,0.38,0.95,0.98,0.9,False
bin.23, k__Bacteria (UID203),5449,102,56, 89,11,2,0,0, 0, 14.88,2.68,100.00,357,349,27,kingdom,1.0,0.98,0.0,0.0,0.0,0.86,0.84,True
bin.24,o__Clostridiales (UID1212), 172, 263, 149, 50, 209,4,0,0, 0, 92.39,1.79,25.00,1725,1662,150,genus,0.93,0.9,0.05,0.15,0.37,0.91,0.81,True
bin.25, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,381,360,45,family,0.91,0.86,0.32,0.1,0.23,0.91,0.78,True
bin.26, o__Selenomonadales (UID1024), 64, 334, 167,248,86,0,0,0, 0, 27.15,0.00, 0.00,805,783,7,family,0.93,0.91,0.14,0.04,0.09,0.75,0.68,True
bin.27, k__Bacteria (UID203),5449, 98,58, 50,48,0,0,0, 0, 66.36,0.00, 0.00,1744,1715,251,family,0.97,0.95,0.89,0.04,0.08,0.98,0.94,False
bin.28, root (UID1), 5656, 56,24, 54,2, 0,0,0, 0,8.33,0.00, 0.00,945,919,190,genus,0.94,0.91,0.14,0.15,0.33,0.97,0.89,True
bin.29,o__Bacteroidales (UID2621), 198, 427, 260, 16, 411,0,0,0, 0, 96.54,0.00, 0.00,3667,3532,148,family,0.94,0.91,0.33,0.03,0.07,0.96,0.87,True
bin.3,k__Bacteria (UID203),5449,103,57, 95,8, 0,0,0, 0,8.77,0.00, 0.00,343,329,14,genus,0.88,0.84,0.49,0.27,0.8,0.94,0.79,False
bin.30,o__Clostridiales (UID1212), 172, 263, 149, 16, 247,0,0,0, 0, 91.78,0.00, 0.00,2198,2171,79,genus,0.94,0.93,0.4,0.05,0.1,0.97,0.9,True
bin.31, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,1235,1160,122,order,0.9,0.85,0.93,0.15,0.35,0.82,0.69,False
bin.32, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,260,255,5,class,0.96,0.94,0.81,0.02,0.05,0.91,0.85,False
bin.33,p__Bacteroidetes (UID2605), 350, 314, 208, 21, 288,5,0,0, 0, 92.42,0.62,40.00,2007,1959,250,family,0.94,0.92,0.38,0.06,0.12,0.81,0.74,True
bin.34, g__Bacteroides (UID2691), 33, 839, 309, 82, 725,31, 1,0, 0, 90.58,5.53,17.65,5214,5041,125,family,0.93,0.9,0.43,0.03,0.06,0.94,0.84,True
bin.35, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,283,271,35,order,0.94,0.9,0.9,0.09,0.2,0.87,0.78,False
