,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 84,20,0,0, 0, 0, 29.31,0.00, 0.00,2174,2035,150,phylum,0.99,0.93,0.67,0.02,0.04,0.93,0.86,False
bin.10,s__algicola (UID2847), 33, 496, 263, 2,494,0,0, 0, 0, 99.24,0.00, 0.00,3092,3002,37,class,0.98,0.95,0.02,0.08,0.17,0.71,0.68,True
bin.11, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,3953,1522,527,kingdom,1.0,0.39,0.0,0.04,0.08,0.42,0.16,True
bin.12,s__algicola (UID2846), 47, 571, 303, 19, 541,11, 0, 0, 0, 95.71,2.48,45.45,4094,3979,359,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.93,True
bin.13, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,9319,3842,921,kingdom,1.0,0.41,0.37,0.05,0.11,0.45,0.19,True
bin.14,o__Rhodospirillales (UID3754), 63, 336, 201, 39, 293,4,0, 0, 0, 88.43,1.74,100.00,4105,4006,527,kingdom,1.0,0.98,0.0,0.0,0.0,0.84,0.82,True
bin.15,f__Rhodobacteraceae (UID3360), 56, 582, 313,221, 343,18, 0, 0, 0, 60.67,1.40,38.89,2411,2397,441,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True
bin.16, c__Betaproteobacteria (UID3959), 235, 419, 211, 19, 394,6,0, 0, 0, 95.08,1.31, 0.00,3163,3089,239,family,0.83,0.81,0.32,0.16,0.39,0.71,0.58,True
bin.17, c__Gammaproteobacteria (UID4443),356, 451, 270, 9,438,4,0, 0, 0, 97.04,0.99, 0.00,2853,2791,65,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.18, c__Gammaproteobacteria (UID4444),263, 503, 230, 51, 448,4,0, 0, 0, 98.91,1.20, 0.00,3604,3516,101,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True
bin.19,k__Bacteria (UID2565),2921,152,93, 14, 138,0,0, 0, 0, 90.32,0.00, 0.00,1587,1319,110,class,0.9,0.75,0.12,0.1,0.22,0.53,0.4,True
bin.2,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,447,181,26,kingdom,1.0,0.4,0.11,0.06,0.12,0.38,0.15,True
bin.20, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,352,130,40,kingdom,1.0,0.37,0.0,0.07,0.15,0.41,0.15,True
bin.21, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,524,292,85,phylum,0.92,0.52,0.41,0.47,1.35,0.46,0.24,True
bin.22,k__Bacteria (UID2565),2921,143,88, 6,137,0,0, 0, 0, 93.18,0.00, 0.00,3041,2398,94,class,0.72,0.57,0.04,0.67,4.7,0.46,0.26,True
bin.23, c__Alphaproteobacteria (UID3305),564, 349, 230, 56, 286,7,0, 0, 0, 90.95,1.30, 0.00,3382,3203,458,family,0.9,0.86,0.56,0.16,0.39,0.74,0.64,False
bin.24, c__Alphaproteobacteria (UID3422), 26, 529, 308, 10, 515,4,0, 0, 0, 98.93,0.54,25.00,3512,3436,46,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.92,True
bin.25, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,249,243,16,class,0.93,0.91,0.49,0.09,0.2,0.79,0.72,False
bin.26, k__Bacteria (UID203),5449,104,58,103,1, 0,0, 0, 0,1.72,0.00, 0.00,303,296,49,family,0.9,0.88,0.79,0.14,0.31,0.87,0.76,False
bin.27, c__Alphaproteobacteria (UID3305),564, 349, 230, 17, 331,1,0, 0, 0, 95.80,0.43, 0.00,3649,3444,244,order,0.87,0.82,0.09,0.43,1.64,0.6,0.49,True
bin.28,k__Bacteria (UID2565),2921,140,85, 30, 108,2,0, 0, 0, 69.17,0.18, 0.00,5119,4688,1043,kingdom,1.0,0.92,0.0,0.0,0.0,0.94,0.86,True
bin.29, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,1021,453,78,kingdom,1.0,0.44,0.4,0.13,0.29,0.5,0.22,True
bin.3,c__Gammaproteobacteria (UID4443),356, 448, 269, 14, 431,3,0, 0, 0, 96.34,0.93,33.33,3291,3202,196,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True
bin.30,o__Cytophagales (UID2936), 47, 454, 336, 49, 245, 158, 2, 0, 0, 92.92, 39.36,82.93,5270,5102,336,order,0.96,0.93,0.17,0.04,0.08,0.9,0.84,True
bin.31, k__Bacteria (UID203),5449,104,58, 80,24,0,0, 0, 0, 32.05,0.00, 0.00,2101,1997,441,order,0.94,0.9,0.84,0.19,0.47,0.85,0.76,False
bin.4,c__Alphaproteobacteria (UID3422), 26, 529, 308,100, 417,12, 0, 0, 0, 77.22,1.54,58.33,2457,2433,383,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
bin.5,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,497,460,121,genus,0.63,0.58,0.71,0.16,0.39,0.9,0.53,False
bin.6, o__Sphingomonadales (UID3310), 26, 569, 293, 42, 519,8,0, 0, 0, 96.50,1.09,75.00,2530,2519,226,kingdom,1.0,1.0,0.0,0.0,0.0,0.97,0.97,True
bin.7, f__Rhodobacteraceae (UID3356), 67, 616, 330,377, 233,6,0, 0, 0, 39.76,0.84,33.33,1678,1632,377,genus,0.75,0.73,0.34,0.19,0.51,0.78,0.57,True
bin.8, s__algicola (UID2847), 33, 496, 263, 8,487,1,0, 0, 0, 97.34,0.19, 0.00,3065,2981,39,kingdom,1.0,0.97,0.0,0.0,0.0,0.9,0.87,True
bin.9,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,707,340,48,kingdom,1.0,0.48,0.23,0.09,0.21,0.5,0.24,True
