,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.166, p__Proteobacteria (UID3887), 1487,256, 160, 46, 208, 2,0, 0, 0, 93.00,1.25, 0.00,1725,1556,91,class,0.95,0.86,0.31,0.1,0.22,0.67,0.57,True
bin.169, c__Gammaproteobacteria (UID4201),1164,271, 170, 15, 255, 1,0, 0, 0, 93.82,0.03, 0.00,2286,2009,373,kingdom,1.0,0.88,0.0,0.0,0.0,0.93,0.82,True
bin.172, o__Lactobacillales (UID544), 293, 475, 267, 16, 459, 0,0, 0, 0, 96.63,0.00, 0.00,2301,2252,36,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.3,k__Bacteria (UID2372),131, 177, 106, 0,164, 12, 1, 0, 0, 100.00, 9.91, 0.00,3197,2711,162,phylum,0.98,0.83,0.66,0.02,0.04,0.86,0.72,False
bin.318, k__Bacteria (UID203),5449,103,58, 52,51, 0,0, 0, 0, 77.59,0.00, 0.00,3695,3493,90,family,0.96,0.9,0.24,0.06,0.13,0.88,0.8,True
bin.324, k__Bacteria (UID203),5449,103,57, 2, 8,91, 1, 0, 1, 96.49, 87.19,27.52,3005,2438,195,genus,0.61,0.5,0.19,0.36,1.23,0.55,0.27,True
bin.51, o__Clostridiales (UID1212), 172, 257, 149, 5,251, 1,0, 0, 0, 96.98,0.13, 0.00,3005,2920,72,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.92,True
bin.591, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,502,473,35,class,0.98,0.92,0.89,0.36,0.85,0.91,0.84,False
bin.609, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,690,665,10,family,0.93,0.9,0.08,0.24,0.67,0.92,0.83,True
bin.818, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1234,1222,203,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True
bin.830, k__Bacteria (UID203),5449,104,58,102,2,0,0, 0, 0,0.31,0.00, 0.00,264,66,1,kingdom,1.0,0.25,0.0,0.0,0.0,0.4,0.1,True
