,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1, k__Bacteria (UID2565),2921,152,93, 8,143, 1,0, 0,0, 96.38,1.08, 0.00,1871,1724,24,class,0.9,0.83,0.07,0.17,0.41,0.52,0.43,True
bin.10, k__Bacteria (UID203),5449,104,58, 96,8,0,0, 0,0, 12.07,0.00, 0.00,923,875,105,class,0.96,0.91,0.18,0.07,0.14,0.63,0.57,True
bin.11,k__Archaea (UID2),207, 149, 107,134,15, 0,0, 0,0,3.13,0.00, 0.00,245,62,14,kingdom,1.0,0.25,0.0,0.23,0.54,0.36,0.09,True
bin.12, k__Bacteria (UID203),5449,104,58,102,2,0,0, 0,0,3.45,0.00, 0.00,236,233,31,kingdom,1.0,0.98,0.0,0.0,0.0,0.84,0.83,True
bin.13, k__Bacteria (UID203),5449,104,58, 74,27, 3,0, 0,0, 40.52,4.31, 0.00,553,526,92,phylum,0.94,0.9,0.48,0.07,0.16,0.52,0.46,False
bin.14, root (UID1), 5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,322,150,27,kingdom,1.0,0.47,0.0,0.04,0.08,0.41,0.19,True
bin.15, k__Bacteria (UID203),5449,104,58, 65,38, 1,0, 0,0, 56.38,1.72, 0.00,1342,1226,199,phylum,0.91,0.83,0.69,0.16,0.38,0.53,0.44,False
bin.16,k__Archaea (UID2),207, 149, 107,102,47, 0,0, 0,0, 33.14,0.00, 0.00,415,381,12,kingdom,1.0,0.92,0.03,0.06,0.12,0.61,0.56,True
bin.17, c__Gammaproteobacteria (UID4443),356, 451, 270,142, 305, 4,0, 0,0, 66.68,0.56,75.00,1939,1827,164,family,0.65,0.62,0.19,0.18,0.48,0.6,0.37,True
bin.18, k__Bacteria (UID203),5449,104,58, 94,10, 0,0, 0,0, 17.24,0.00, 0.00,311,299,31,family,0.88,0.85,0.1,0.16,0.4,0.65,0.55,True
bin.19, k__Bacteria (UID203),5449,104,58, 69,24, 10, 1, 0,0, 52.59, 19.83, 0.00,1185,1132,200,class,0.9,0.86,0.84,0.13,0.29,0.74,0.63,False
bin.2,k__Bacteria (UID203),5449,104,58, 88,16, 0,0, 0,0, 20.69,0.00, 0.00,229,228,6,family,0.93,0.93,0.02,0.15,0.34,0.64,0.59,True
bin.20, c__Gammaproteobacteria (UID4201),1164,275, 174,131, 134, 10, 0, 0,0, 51.39,3.07, 0.00,1215,1171,141,order,0.8,0.77,0.99,0.06,0.12,0.76,0.58,False
bin.21, k__Bacteria (UID203),5449,104,58, 97,6,1,0, 0,0, 12.07,1.72, 0.00,361,327,63,phylum,0.95,0.86,0.85,0.35,1.0,0.59,0.51,False
bin.22, k__Bacteria (UID203),5449,102,56, 85,16, 1,0, 0,0, 26.79,1.79, 0.00,508,488,36,family,0.86,0.82,0.1,0.16,0.4,0.66,0.54,True
bin.23, root (UID1), 5656, 56,24, 55,1,0,0, 0,0,4.17,0.00, 0.00,307,295,36,phylum,0.95,0.92,0.58,0.07,0.15,0.58,0.53,False
bin.24, root (UID1), 5656, 56,24, 54,2,0,0, 0,0,8.33,0.00, 0.00,259,234,35,genus,0.74,0.67,1.0,0.1,0.22,0.6,0.4,False
bin.25, k__Bacteria (UID203),5449,104,58, 94,9,1,0, 0,0, 12.07,0.86,100.00,238,215,42,phylum,0.91,0.82,0.82,0.19,0.47,0.5,0.42,False
bin.26,k__Bacteria (UID3187),2258,182, 112, 15, 166, 1,0, 0,0, 90.18,0.89, 0.00,2424,2013,157,class,0.86,0.71,0.07,0.21,0.55,0.51,0.36,True
bin.27, k__Bacteria (UID203),5449,104,58, 93,11, 0,0, 0,0, 18.97,0.00, 0.00,283,271,42,class,0.94,0.9,0.83,0.24,0.62,0.74,0.67,False
bin.28,k__Archaea (UID2),207, 149, 107,131,7,5,0, 6,0,4.45,2.52, 4.88,586,153,62,kingdom,1.0,0.26,0.0,0.14,0.31,0.38,0.1,True
bin.29,k__Bacteria (UID2495),2993,147,91,100,45, 2,0, 0,0, 34.32,2.20, 0.00,633,579,83,phylum,0.92,0.85,0.4,0.06,0.14,0.53,0.45,True
bin.3,root (UID1), 5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,298,150,25,phylum,0.84,0.42,0.04,0.29,0.88,0.43,0.18,True
bin.30, k__Bacteria (UID203),5449,104,58, 73,27, 4,0, 0,0, 43.79,6.03, 0.00,677,591,122,class,0.8,0.7,0.38,0.36,1.19,0.51,0.36,True
bin.31, p__Proteobacteria (UID3880), 1495,261, 164, 55, 202, 4,0, 0,0, 79.57,2.44, 0.00,1250,1161,49,phylum,0.91,0.85,0.08,0.02,0.05,0.5,0.43,True
bin.32, p__Euryarchaeota (UID3), 148, 188, 125, 35, 152, 1,0, 0,0, 75.33,0.80, 0.00,1541,1365,51,phylum,0.95,0.84,0.14,0.05,0.1,0.59,0.5,True
bin.33, p__Euryarchaeota (UID3), 148, 188, 125, 47, 140, 1,0, 0,0, 72.59,0.80,100.00,1450,1327,71,kingdom,1.0,0.92,0.12,0.05,0.09,0.64,0.58,True
bin.34, root (UID1), 5656, 56,24, 50,1,5,0, 0,0,3.36,2.31, 0.00,319,96,37,kingdom,1.0,0.3,0.0,0.11,0.25,0.4,0.12,True
bin.35, k__Bacteria (UID203),5449,104,58, 96,8,0,0, 0,0,4.47,0.00, 0.00,212,196,31,family,0.44,0.41,0.45,0.75,6.99,0.6,0.25,False
bin.36, p__Euryarchaeota (UID3), 148, 188, 125, 57, 121, 10, 0, 0,0, 76.50,7.36,70.00,1632,1488,84,kingdom,1.0,0.91,0.09,0.06,0.13,0.61,0.55,True
bin.37, k__Bacteria (UID203),5449,102,58, 93,9,0,0, 0,0, 13.79,0.00, 0.00,261,248,34,phylum,0.95,0.9,0.95,0.04,0.09,0.62,0.56,False
bin.38,k__Archaea (UID2),207, 149, 107, 97,52, 0,0, 0,0, 39.72,0.00, 0.00,519,492,66,phylum,0.96,0.91,0.74,0.04,0.09,0.89,0.81,False
bin.39, k__Bacteria (UID203),5449,104,58, 67,35, 2,0, 0,0, 55.17,3.45, 0.00,1181,1117,71,class,0.8,0.75,0.34,0.09,0.19,0.63,0.47,True
bin.4,p__Euryarchaeota (UID3), 148, 188, 125, 31, 156, 1,0, 0,0, 80.13,0.80, 0.00,1456,1363,68,kingdom,1.0,0.94,0.26,0.04,0.09,0.63,0.59,True
bin.40, c__Gammaproteobacteria (UID4201),1164,275, 174,156, 118, 1,0, 0,0, 43.01,0.57, 0.00,724,680,90,phylum,0.94,0.88,0.38,0.06,0.12,0.51,0.45,True
bin.41, p__Euryarchaeota (UID3), 148, 188, 125,109,79, 0,0, 0,0, 35.47,0.00, 0.00,546,495,20,kingdom,1.0,0.91,0.07,0.06,0.13,0.62,0.56,True
bin.42, p__Euryarchaeota (UID3), 148, 188, 125, 92,95, 1,0, 0,0, 49.73,0.80,100.00,953,867,48,kingdom,1.0,0.91,0.15,0.06,0.12,0.59,0.54,True
bin.43, c__Gammaproteobacteria (UID4267),119, 544, 284,225, 316, 3,0, 0,0, 59.13,0.75, 0.00,1417,1342,163,class,0.91,0.86,0.2,0.22,0.6,0.54,0.47,True
bin.44,k__Archaea (UID2),207, 145, 103,134,4,1,6, 0,0,3.76,0.97, 0.00,206,53,32,kingdom,1.0,0.26,0.0,0.19,0.44,0.36,0.09,True
bin.45,k__Bacteria (UID1453),901, 171, 117,133,37, 1,0, 0,0, 17.40,0.43, 0.00,386,378,11,phylum,0.98,0.96,0.07,0.04,0.08,0.67,0.65,True
bin.46, k__Bacteria (UID203),5449,104,58, 98,6,0,0, 0,0, 10.34,0.00, 0.00,610,590,77,genus,0.54,0.53,0.32,0.11,0.25,0.6,0.31,True
bin.47,k__Archaea (UID2),207, 149, 107,131,8,3,7, 0,0,4.45,2.88, 0.00,434,111,45,kingdom,1.0,0.26,0.0,0.14,0.33,0.39,0.1,True
bin.48,k__Bacteria (UID1452),924, 151, 101, 27, 106, 18, 0, 0,0, 79.70, 14.96,16.67,2253,2020,282,order,0.51,0.46,0.44,0.86,8.18,0.57,0.26,True
bin.49, root (UID1), 5656, 56,24, 51,5,0,0, 0,0, 14.58,0.00, 0.00,546,512,56,order,0.79,0.74,0.15,0.34,0.97,0.53,0.4,True
bin.5,p__Euryarchaeota (UID3), 148, 188, 125,143,45, 0,0, 0,0, 15.07,0.00, 0.00,295,265,5,phylum,0.92,0.83,0.25,0.02,0.05,0.57,0.47,True
bin.50,k__Archaea (UID2),207, 149, 107,111,36, 2,0, 0,0, 30.84,1.87, 0.00,757,656,100,kingdom,1.0,0.87,0.19,0.1,0.22,0.55,0.48,True
bin.51, root (UID1), 5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,218,209,13,genus,0.8,0.77,0.28,0.24,0.65,0.69,0.52,True
bin.52, k__Bacteria (UID203),5449,104,58, 98,6,0,0, 0,0, 10.34,0.00, 0.00,568,511,63,family,0.53,0.48,0.45,0.55,2.93,0.51,0.24,True
bin.53, k__Bacteria (UID203),5449,103,57, 97,6,0,0, 0,0,8.77,0.00, 0.00,284,211,11,class,0.81,0.6,0.05,0.44,1.88,0.48,0.29,True
bin.54,k__Bacteria (UID2566),525, 208, 136, 78,96, 29, 3, 2,0, 71.65, 27.02,16.00,1935,1842,249,phylum,0.94,0.89,0.82,0.22,0.58,0.6,0.54,False
bin.55, k__Bacteria (UID203),5449,103,57, 78,25, 0,0, 0,0, 36.84,0.00, 0.00,1607,1315,350,class,0.79,0.65,0.31,0.21,0.55,0.51,0.33,True
bin.56,k__Archaea (UID2),207, 149, 107,134,15, 0,0, 0,0, 13.08,0.00, 0.00,280,253,7,kingdom,1.0,0.9,0.06,0.09,0.21,0.55,0.5,True
