sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	123	1036782	0.9971885020905444	1.0	2945405	2937124	2937124	0.9166666666666666	1.0	24	22	22
gsa	53	1048885	0.9986298906558152	0.9996186524579397	12284421	12267590	12272270	0.8627450980392157	0.9361702127659575	51	44	47
gsa	38	1285_BF	0.9983852691286038	0.9995929488956459	4171593	4164857	4166553	0.8888888888888888	0.8888888888888888	9	8	9
gsa	90	1287_BN	0.990595486375868	0.9989920377080145	4793443	4748363	4753154	0.64	0.5517241379310345	25	16	29
gsa	92	1036785	0.9923872900599884	0.9987233484688514	5012801	4974640	4980999	0.896551724137931	0.9629629629629629	29	26	27
gsa	77	1286_AF	0.9969241701201695	0.9986418842804226	4787651	4772925	4779416	0.75	0.6206896551724138	24	18	29
gsa	94	1035993	0.9967926170404795	0.9985947933471104	2793243	2784284	2788202	0.9696969696969697	0.9411764705882353	33	32	34
gsa	4	1030740	0.9883410628083915	0.998502475612272	3290866	3252498	3257376	0.8787878787878788	0.9354838709677419	33	29	31
gsa	113	1030881	0.9996609533155764	0.9983382043399912	3297481	3296363	3301850	0.9523809523809523	0.9523809523809523	21	20	21
gsa	39	1048861	0.9938785807582887	0.9978825275519331	9780575	9720704	9741331	0.8125	0.9558823529411765	160	130	136
gsa	102	1285_CG	0.9964970371273939	0.9978795018061469	3738264	3725169	3733085	0.6666666666666666	0.7142857142857143	15	10	14
gsa	97	1036803	0.9997223627762015	0.9978506455228592	5154208	5152777	5163876	0.9615384615384616	0.8064516129032258	26	25	31
gsa	144	1220_E	1.0	0.9978384401175407	7266500	7266500	7282241	1.0	0.7222222222222222	26	26	36
gsa	140	1036680	1.0	0.9977778229863868	4463151	4463151	4473091	1.0	0.9204545454545454	81	81	88
