,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.101,o__Campylobacterales (UID3068),106, 476, 283, 4,471, 1,0, 0, 0, 99.47,0.35, 0.00,1555,1523,29,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.1027, o__Bacteroidales (UID2621),198, 427, 260, 2,425, 0,0, 0, 0, 99.23,0.00, 0.00,3289,3193,79,family,0.96,0.93,0.3,0.04,0.09,0.97,0.91,True
bin.10313, root (UID1),5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,177,169,4,genus,0.96,0.92,0.05,0.02,0.05,0.76,0.7,True
bin.11092, root (UID1),5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,223,213,4,kingdom,1.0,0.96,0.0,0.0,0.0,0.83,0.79,True
bin.11247, k__Bacteria (UID203), 5449,104,58, 95,9,0,0, 0, 0, 14.66,0.00, 0.00,316,300,13,kingdom,1.0,0.95,0.0,0.0,0.0,0.8,0.76,True
bin.114, root (UID1),5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,307,139,10,phylum,0.89,0.4,0.01,0.1,0.24,0.4,0.16,True
bin.1281, g__Lactobacillus (UID377),91, 430, 154, 11, 417, 2,0, 0, 0, 96.78,0.97,50.00,1921,1890,57,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True
bin.13303, k__Bacteria (UID203), 5449,104,58,100,4,0,0, 0, 0,6.90,0.00, 0.00,209,205,8,genus,0.96,0.94,0.14,0.05,0.1,0.79,0.74,True
bin.1402, o__Bacteroidales (UID2617),213, 406, 265, 20, 384, 2,0, 0, 0, 94.47,0.57, 0.00,1726,1702,46,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.94,True
bin.1577,root (UID1),5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,204,76,3,kingdom,1.0,0.37,0.0,0.0,0.0,0.41,0.15,True
bin.159, o__Lactobacillales (UID374),471, 350, 191, 33, 317, 0,0, 0, 0, 98.43,0.00, 0.00,1714,1665,81,kingdom,1.0,0.97,0.0,0.0,0.0,0.94,0.91,True
bin.1901,o__Selenomonadales (UID1024),64, 334, 167, 41, 292, 1,0, 0, 0, 97.75,0.60, 0.00,1670,1581,46,family,0.9,0.85,0.1,0.05,0.1,0.74,0.63,True
bin.1957, o__Bacteroidales (UID2617),213, 406, 265, 64, 342, 0,0, 0, 0, 81.51,0.00, 0.00,1610,1511,51,genus,0.9,0.84,0.08,0.28,0.85,0.65,0.55,True
bin.2008,root (UID1),5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,367,173,20,phylum,0.9,0.42,0.1,0.1,0.24,0.41,0.17,True
bin.2139, o__Bacteroidales (UID2657),160, 492, 269, 82, 410, 0,0, 0, 0, 83.52,0.00, 0.00,1531,1396,32,genus,0.92,0.84,0.04,0.22,0.6,0.71,0.6,True
bin.2207, k__Bacteria (UID2372), 131, 177, 106, 3,167, 7,0, 0, 0, 97.64,3.23, 0.00,1861,1679,64,order,0.94,0.85,0.07,0.22,0.58,0.61,0.51,True
bin.237,o__Bacteroidales (UID2617),213, 406, 265, 16, 389, 1,0, 0, 0, 95.28,0.19, 0.00,1810,1755,67,kingdom,1.0,0.97,0.0,0.0,0.0,0.87,0.85,True
bin.24, k__Bacteria (UID2372), 131, 177, 106, 14, 158, 4,1, 0, 0, 91.24,1.62,14.29,2430,2237,102,family,0.89,0.82,0.18,0.22,0.55,0.74,0.6,True
