,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
12619, k__Archaea (UID2),207, 149, 107,132,7,10, 0, 0, 0,3.98,0.72, 0.00,448,127,46,kingdom,1.0,0.28,0.0,0.15,0.34,0.36,0.1,True
13773, k__Archaea (UID2),207, 149, 107,141,8,0,0, 0, 0,6.15,0.00, 0.00,811,237,165,kingdom,1.0,0.29,0.0,0.14,0.3,0.4,0.12,True
13845, k__Archaea (UID2),207, 149, 107,135,7,5,2, 0, 0,4.55,0.65, 0.00,844,150,50,kingdom,1.0,0.18,0.0,0.22,0.52,0.38,0.07,True
14056,p__Euryarchaeota (UID3), 148, 188, 125, 39, 146, 2,1, 0, 0, 79.84,3.20,40.00,1309,1190,86,kingdom,1.0,0.91,0.19,0.08,0.18,0.61,0.55,True
14257,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,252,20,13,kingdom,1.0,0.08,0.0,0.05,0.1,0.34,0.03,True
16661,p__Euryarchaeota (UID3), 148, 188, 125,110,78, 0,0, 0, 0, 48.24,0.00, 0.00,668,641,18,kingdom,1.0,0.96,0.09,0.04,0.08,0.72,0.69,True
18196, k__Archaea (UID2),207, 149, 107,107,42, 0,0, 0, 0, 33.64,0.00, 0.00,559,496,33,kingdom,1.0,0.89,0.07,0.06,0.14,0.54,0.48,True
19488, k__Archaea (UID2),207, 149, 107,106,43, 0,0, 0, 0, 32.78,0.00, 0.00,723,683,42,kingdom,1.0,0.94,0.21,0.04,0.08,0.62,0.59,True
19849,p__Euryarchaeota (UID3), 148, 188, 125, 55, 117, 16, 0, 0, 0, 77.73,8.80,56.25,1538,1409,47,kingdom,1.0,0.92,0.08,0.06,0.13,0.6,0.55,True
20717, k__Archaea (UID2),207, 149, 107, 91,58, 0,0, 0, 0, 46.08,0.00, 0.00,877,816,34,kingdom,1.0,0.93,0.17,0.07,0.14,0.59,0.55,True
20719, k__Archaea (UID2),207, 149, 107, 79,45, 25, 0, 0, 0, 55.14, 19.63,28.00,1545,1468,63,kingdom,1.0,0.95,0.06,0.04,0.07,0.69,0.65,True
20720, k__Archaea (UID2),207, 149, 107,136,13, 0,0, 0, 0,7.76,0.00, 0.00,229,211,9,kingdom,1.0,0.92,0.06,0.04,0.09,0.6,0.56,True
4100, c__Gammaproteobacteria (UID4761), 52, 693, 297, 22, 664, 7,0, 0, 0, 98.20,1.26,28.57,3688,3611,80,kingdom,1.0,0.98,0.0,0.0,0.0,0.92,0.9,True
4211, k__Bacteria (UID203),5449,103,58, 34,46, 15, 8, 0, 0, 52.63, 14.01, 0.00,993,892,202,class,0.97,0.87,0.97,0.03,0.06,0.91,0.79,False
5014, p__Euryarchaeota (UID3), 148, 188, 125, 26, 161, 1,0, 0, 0, 81.54,0.80,100.00,1594,1424,110,phylum,0.98,0.87,0.25,0.02,0.05,0.64,0.56,True
5110, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,383,160,8,kingdom,1.0,0.42,0.0,0.03,0.05,0.43,0.18,True
578,c__Gammaproteobacteria (UID4444),263, 505, 231, 23, 478, 4,0, 0, 0, 98.14,0.87, 0.00,3127,3090,52,kingdom,1.0,0.99,0.0,0.0,0.0,0.94,0.93,True
