sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bins/84.fna	1220_F	0.5002500386567701	1.0	9448539	4726632	4726632	0.12307692307692308	1.0	65	8	8
gsa	bins/849.fna	1053013	0.25224325419694205	0.9998011304250929	29238550	7375227	7376694	0.16541353383458646	0.9565217391304348	133	22	23
gsa	bins/392.fna	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	bins/1246.fna	1286_F	0.5107627770788692	0.9995912967180516	7369427	3764029	3765568	0.2413793103448276	0.7777777777777778	29	7	9
gsa	bins/1228.fna	1287_BW	0.500436894844319	0.9993809480405355	6835741	3420857	3422976	0.5	0.6666666666666666	12	6	9
gsa	bins/223.fna	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	bins/1399.fna	1286_CB	0.504034903100259	0.998380825582047	7846409	3954864	3961278	0.47619047619047616	0.7692307692307693	21	10	13
gsa	bins/1091.fna	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	bins/1138.fna	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	bins/1751.fna	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	bins/3590.fna	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	bins/1080.fna	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	bins/1103.fna	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	bins/2812.fna	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	bins/1579.fna	1285_AJ	1.0	0.9973696662019635	4011344	4011344	4021923	1.0	0.5833333333333334	14	14	24
gsa	bins/32.fna	1021_B	0.500042641242887	0.9973287378272427	7223054	3611835	3621509	0.4	0.4444444444444444	10	4	9
gsa	bins/562.fna	1021_AI	0.4927050637945335	0.9969093502588839	10422915	5135423	5151344	0.4857142857142857	0.6666666666666666	70	34	51
gsa	bins/606.fna	1139_BD	0.5040914253835868	0.9967349937802742	10597407	5342062	5359561	0.5192307692307693	0.6428571428571429	52	27	42
gsa	bins/1490.fna	1287_AF	1.0	0.9962671067551334	3549620	3549620	3562920	1.0	0.5333333333333333	8	8	15
gsa	bins/804.fna	1139_BT	0.5001556557504911	0.9957481179966706	10391521	5197378	5219571	0.5	0.45454545454545453	30	15	33
gsa	bins/2871.fna	1286_AN	1.0	0.995297538587637	3516641	3516641	3533256	1.0	0.5263157894736842	10	10	19
gsa	bins/1812.fna	1139_AY	1.0	0.9945438975307346	5824243	5824243	5856195	1.0	0.7037037037037037	19	19	27
gsa	bins/4828.fna	1220_AS	1.0	0.9941133914399061	2591588	2591588	2606934	1.0	0.25	3	3	12
gsa	bins/1969.fna	1220_N	1.0	0.9930014281910651	3647471	3647471	3673178	1.0	0.38461538461538464	5	5	13
gsa	bins/87.fna	1220_CG	0.5000020785010977	0.9924311324076728	7457297	3728664	3757101	0.5	0.375	6	3	8
gsa	bins/129.fna	evo_1048963.008	1.0	0.9885642225218388	5111917	5111917	5171052	1.0	0.8571428571428571	30	30	35
gsa	bins/700.fna	evo_1048975.035	0.34505187341592775	0.9884987958976366	12970131	4475368	4527439	0.358974358974359	0.6461538461538462	117	42	65
gsa	bins/657.fna	evo_1036569.002	1.0	0.988319768358109	3091738	3091738	3128277	1.0	0.4782608695652174	11	11	23
gsa	bins/85.fna	1220_BO	0.9925816115585863	0.9869052377600704	8238447	8177331	8285832	0.974025974025974	0.7075471698113207	77	75	106
gsa	bins/1346.fna	evo_1036569.020	1.0	0.9866342690572963	3160305	3160305	3203117	1.0	0.43478260869565216	10	10	23
gsa	bins/579.fna	evo_1036686.006	0.5014281621378388	0.9865107147309268	8380351	4202144	4259603	0.5	0.8085106382978723	76	38	47
gsa	bins/181.fna	evo_1036569.014	1.0	0.9864048724609814	3086232	3086232	3128768	1.0	0.43478260869565216	10	10	23
gsa	bins/314.fna	1220_H	1.0	0.9845718079940204	6665241	6665241	6769685	1.0	0.6416666666666667	77	77	120
gsa	bins/557.fna	evo_1036569.031	1.0	0.9842792286547124	3319275	3319275	3372290	1.0	0.5357142857142857	15	15	28
gsa	bins/1433.fna	evo_1036569.028	1.0	0.9842128480044975	3284273	3284273	3336954	1.0	0.5357142857142857	15	15	28
gsa	bins/50.fna	1287_BG	0.5040242996130212	0.9841895349619787	9342371	4708782	4784426	0.2653061224489796	0.48148148148148145	49	13	27
gsa	bins/83.fna	1021_BA	0.5018982398496272	0.9822682741684824	8665396	4349147	4427657	0.4918032786885246	0.5263157894736842	61	30	57
gsa	bins/1387.fna	1286_AG	1.0	0.9814978894306731	4573895	4573895	4660117	1.0	0.46875	15	15	32
gsa	bins/24.fna	evo_1048963.035	0.33622680941025807	0.981317726220561	15557873	5230974	5330561	0.35714285714285715	0.75	84	30	40
gsa	bins/1213.fna	1286_Q	1.0	0.9804387544728153	5867422	5867422	5984486	1.0	0.515695067264574	115	115	223
gsa	bins/616.fna	1287_CI	0.5010884976196193	0.9795286005536779	9934335	4977981	5082017	0.5441176470588235	0.6851851851851852	68	37	54
gsa	bins/662.fna	1139_AN	0.2548455660476335	0.9794718999758899	18395890	4688111	4786366	0.17647058823529413	0.32608695652173914	85	15	46
gsa	bins/2279.fna	evo_1030719.037	0.3386561028502948	0.9792984104036528	12905437	4370505	4462894	0.3359375	0.7049180327868853	128	43	61
gsa	bins/1808.fna	1286_U	0.5003115174873835	0.9790238820876594	7829416	3917147	4001074	0.47368421052631576	0.7297297297297297	57	27	37
gsa	bins/586.fna	1285_BB	0.33403506828784774	0.9783549893263904	11556595	3860308	3945713	0.32653061224489793	0.8	49	16	20
gsa	bins/612.fna	1287_AN	0.5018453386707975	0.9782904132231622	14784549	7419557	7584207	0.5230769230769231	0.4857142857142857	65	34	70
gsa	bins/1601.fna	1220_AU	1.0	0.9774246930126897	4788385	4788385	4898981	1.0	0.5	16	16	32
gsa	bins/390.fna	1139_CD	0.99918167366991	0.9773840498881424	6699039	6693557	6848441	0.9880952380952381	0.6587301587301587	84	83	126
gsa	bins/707.fna	1036686	0.5056798067300828	0.9767479641157364	8869668	4485212	4591985	0.4819277108433735	0.8	83	40	50
gsa	bins/630.fna	evo_1048969.002	1.0	0.9753546456460247	3578109	3578109	3668521	1.0	0.7674418604651163	66	66	86
gsa	bins/23.fna	1139_Q	0.333691412248671	0.9747226916793207	19307662	6442801	6609881	0.3350253807106599	0.5789473684210527	197	66	114
gsa	bins/907.fna	1287_I	1.0	0.974713421691826	4573524	4573524	4692173	1.0	0.6140350877192983	35	35	57
gsa	bins/875.fna	1286_CR	1.0	0.9739704616306499	4108971	4108971	4218784	1.0	0.4444444444444444	12	12	27
gsa	bins/289.fna	1285_D	0.5001752109101331	0.9728946340883929	7990370	3996585	4107932	0.27906976744186046	0.6	43	12	20
gsa	bins/1499.fna	1021_M	1.0	0.9725559614722107	5694108	5694108	5854787	1.0	0.5882352941176471	30	30	51
gsa	bins/165.fna	1139_R	0.5042829527896968	0.9723228384856524	12691361	6400037	6582214	0.40350877192982454	0.34328358208955223	57	23	67
gsa	bins/2286.fna	1285_W	1.0	0.9701534882162135	4602673	4602673	4744273	1.0	0.45098039215686275	23	23	51
gsa	bins/1291.fna	evo_1048987.032	1.0	0.9701117006476869	3005505	3005505	3098102	1.0	0.34210526315789475	13	13	38
gsa	bins/978.fna	1285_BP	0.5005003382433885	0.9694657719213441	7329042	3668188	3783721	0.47058823529411764	0.6153846153846154	17	8	13
gsa	bins/818.fna	1053007	1.0	0.96901587864402	7083696	7083696	7310196	1.0	0.7424242424242424	49	49	66
gsa	bins/133.fna	1048987	0.5065645284440317	0.9688421296777703	5904156	2990836	3087021	0.5	0.3157894736842105	24	12	38
gsa	bins/786.fna	evo_1036569.006	1.0	0.9687673205633561	3032543	3032543	3130311	1.0	0.391304347826087	9	9	23
gsa	bins/370.fna	evo_1036662.016	0.5024888731062526	0.9686025583254976	7400538	3718688	3839230	0.49230769230769234	0.5714285714285714	65	32	56
gsa	bins/168.fna	1286_BJ	0.33768973268462266	0.9685194923638847	16830719	5683561	5868298	0.25663716814159293	0.5	113	29	58
gsa	bins/706.fna	evo_1036686.032	1.0	0.9684441573206581	4494222	4494222	4640662	1.0	0.7547169811320755	40	40	53
gsa	bins/2381.fna	evo_1030719.028	0.9549095148892418	0.9679073873973552	4543952	4339063	4482932	0.9285714285714286	0.6290322580645161	42	39	62
gsa	bins/453.fna	1286_BK	1.0	0.9663228365805739	4109370	4109370	4252585	1.0	0.3783783783783784	14	14	37
