sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200_must/output_recluster_bins/bin.51.fa	1036785	0.9172645952553048	1.0	5430275	4980999	4980999	0.35526315789473684	1.0	76	27	27
gsa	S3N2Bin_200_must/output_recluster_bins/bin.60.fa	1030869	0.9146178748367942	1.0	1677330	1534116	1534116	0.42857142857142855	1.0	14	6	6
gsa	S3N2Bin_200_must/output_recluster_bins/bin.75.fa	1049035	0.9988741509036712	1.0	3158505	3154949	3154949	0.9375	1.0	32	30	30
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_61.bin.0.fa	1036782	0.9816873078571109	1.0	2991914	2937124	2937124	0.5945945945945946	1.0	37	22	22
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_55.bin.4.fa	1286_BU	0.5001215718153764	0.9996182288406485	5868959	2935193	2936314	0.4	0.9230769230769231	30	12	13
gsa	S3N2Bin_200_must/output_recluster_bins/bin.80.fa	1285_BF	0.99953753302307	0.9995929488956459	4166784	4164857	4166553	0.8888888888888888	0.8888888888888888	9	8	9
gsa	S3N2Bin_200_must/output_recluster_bins/bin.48.fa	1048885	0.9227626407183533	0.999441912539408	13292065	12265421	12272270	0.1762295081967213	0.9148936170212766	244	43	47
gsa	S3N2Bin_200_must/output_recluster_bins/bin.58.fa	1220_E	0.9923505637782977	0.9994400075471274	7334266	7278163	7282241	0.6444444444444445	0.8055555555555556	45	29	36
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_22.bin.1.fa	1036680	0.9911238405386446	0.9993648687227691	4510284	4470250	4473091	0.945054945054945	0.9772727272727273	91	86	88
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_33.bin.0.fa	1036683	0.9948791183220608	0.9992419842680195	4856195	4831327	4834992	0.9753086419753086	0.9634146341463414	81	79	82
gsa	S3N2Bin_200_must/output_recluster_bins/bin.45.fa	1036635	0.9408473905370345	0.9992228577722637	3471174	3265845	3268385	0.6	0.972972972972973	60	36	37
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_34.bin.0.fa	1287_BN	0.9562674025147024	0.9989920377080145	4965518	4748363	4753154	0.21621621621621623	0.5517241379310345	74	16	29
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_22.bin.0.fa	1035939	0.8395756316031718	0.9986937614295875	1903252	1597924	1600014	0.05	0.875	140	7	8
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_29.bin.1.fa	1036629	0.9768460057218749	0.9985519975796046	2510366	2452241	2455797	0.9107142857142857	0.9807692307692307	168	153	156
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_55.bin.2.fa	1286_BD	0.9872650485046931	0.9983802194579728	3062281	3023283	3028188	0.7857142857142857	0.6875	14	11	16
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_5.bin.0.fa	1286_AF	0.9726174802537452	0.9983504260771608	4905867	4771532	4779416	0.425	0.5862068965517241	40	17	29
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_40.bin.0.fa	1030881	1.0	0.9983382043399912	3296363	3296363	3301850	1.0	0.9523809523809523	20	20	21
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_41.bin.1.fa	1053040	1.0	0.998244861371352	7129351	7129351	7141886	1.0	0.9166666666666666	66	66	72
gsa	S3N2Bin_200_must/output_recluster_bins/bin.88.fa	1285_CG	0.9992775730961142	0.9982100595084227	3729097	3726403	3733085	0.9166666666666666	0.7857142857142857	12	11	14
gsa	S3N2Bin_200_must/output_recluster_bins/bin.43.fa	1030737	0.9856113419369424	0.9981536336369811	3706739	3653404	3660162	0.8382352941176471	0.9193548387096774	68	57	62
gsa	S3N2Bin_200_must/output_recluster_bins/bin.36.fa	1220_A	0.9925069498946487	0.9977104846563167	3887469	3858340	3867194	0.45161290322580644	0.6086956521739131	31	14	23
gsa	S3N2Bin_200_must/output_recluster_bins/bin.18.fa	1036800	0.9428869108339389	0.997100452204369	4362310	4113165	4125126	0.8388888888888889	0.9617834394904459	180	151	157
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_40.bin.1.fa	1053055	0.9867882406618462	0.9970080919592919	5078279	5011186	5026224	0.7659574468085106	0.8780487804878049	47	36	41
gsa	S3N2Bin_200_must/output_recluster_bins/bin.67.fa	1021_AS	0.9978032510950077	0.9966820341629055	5569139	5556905	5575404	0.9166666666666666	0.6875	24	22	32
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_17.bin.0.fa	1053022	0.9868881468944685	0.9966570171831379	3720603	3671819	3684135	0.6181818181818182	0.85	55	34	40
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_5.bin.1.fa	1030782	0.8961204164729483	0.996357299253019	2664951	2388117	2396848	0.484375	0.9489795918367347	192	93	98
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_74.bin.1.fa	1220_AX	1.0	0.9962335668813802	4231522	4231522	4247520	1.0	0.5384615384615384	7	7	13
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_50.bin.1.fa	1048966	1.0	0.9959622793320468	3651621	3651621	3666425	1.0	0.8333333333333334	25	25	30
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_34.bin.1.fa	1035969	0.9332545594149985	0.9958816265607091	3849836	3592877	3607735	0.7924528301886793	0.9130434782608695	53	42	46
gsa	S3N2Bin_200_must/output_recluster_bins/bin.31.fa	1139_CF	1.0	0.9955882672789982	6042269	6042269	6069044	1.0	0.5714285714285714	40	40	70
gsa	S3N2Bin_200_must/output_recluster_bins/bin.44.fa	1021_AP	0.9229044468635373	0.9950850674082773	7199209	6644182	6676999	0.5	0.7323943661971831	104	52	71
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_17.bin.1.fa	1053028	0.9993066010565597	0.994684540659971	3748203	3745604	3765620	0.92	0.8518518518518519	25	23	27
gsa	S3N2Bin_200_must/output_recluster_bins/bin.77.fa	1052998	0.9966451589220299	0.9946619698904041	2506229	2497821	2511226	0.8846153846153846	0.92	26	23	25
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_55.bin.0.fa	1030968	0.9997542904664701	0.9945494841784839	4602996	4601865	4627085	0.9807692307692307	0.8947368421052632	52	51	57
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_30.bin.1.fa	evo_1139_Y.018	0.9985267200842519	0.9944292000865064	7262028	7251329	7291951	0.9047619047619048	0.6195652173913043	63	57	92
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_22.bin.2.fa	1048939	1.0	0.994212890957828	2940492	2940492	2957608	1.0	0.782608695652174	18	18	23
gsa	S3N2Bin_200_must/output_recluster_bins/recluster_12.bin.0.fa	1036614	0.9127376907602485	0.9941144687351519	2707194	2470958	2485587	0.6139240506329114	0.9603960396039604	158	97	101
