sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.61.fa	1030740	0.9117886308939365	0.9972259880345407	3562602	3248340	3257376	0.16167664670658682	0.8709677419354839	167	27	31
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.87.fa	1036680	0.08767517595398028	0.9960561946984758	50817691	4455450	4473091	0.018170158187259512	0.9659090909090909	4678	85	88
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.3.fa	1048885	0.27418737387328745	0.9957676941592712	44569266	12220330	12272270	0.018256503879507075	0.851063829787234	2191	40	47
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.12.fa	1287_BN	0.3141964587463287	0.994986697254076	15052127	4729325	4753154	0.037383177570093455	0.5517241379310345	428	16	29
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.36.fa	1030968	0.5418894036711067	0.9912640463704471	8464205	4586663	4627085	0.24742268041237114	0.8421052631578947	194	48	57
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.121.fa	1285_AD	0.9752414526335269	0.9910868134720233	5814598	5670637	5721635	0.34306569343065696	0.7286821705426356	274	94	129
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.43.fa	1036803	0.21129359867180017	0.9861884754784972	24101795	5092555	5163876	0.008413001912045888	0.7096774193548387	2615	22	31
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.21.fa	1053031	0.24447919922064748	0.9833984899249384	15285509	3736989	3800076	0.11020408163265306	0.84375	245	27	32
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.105.fa	1287_BO	0.30773788859644324	0.9792108445905741	17245751	5307171	5419845	0.32367149758454106	0.48905109489051096	207	67	137
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.81.fa	1036614	0.5116063764783453	0.9671051546375162	4698581	2403824	2485587	0.19088937093275488	0.8712871287128713	461	88	101
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.91.fa	1053040	0.16144313565096538	0.9630019297423678	42601068	6877650	7141886	0.027262813522355506	0.6944444444444444	1834	50	72
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.49.fa	1036566	0.8423791600465602	0.9415028915848979	3295516	2776074	2948556	0.3881118881118881	0.7655172413793103	286	111	145
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.79.fa	1036800	0.7351547584234484	0.9311989500441926	5225176	3841313	4125126	0.2727272727272727	0.7834394904458599	451	123	157
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.8.fa	1049011	0.5087640949939435	0.928948491972981	7022174	3572630	3845886	0.23899755501222494	0.8266384778012685	1636	391	473
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.62.fa	1285_BD	0.9229391932014023	0.9172711685274001	3309153	3054147	3329601	0.6613832853025937	0.8330308529945554	694	459	551
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.38.fa	1220_CF	0.6069124787866084	0.9150238187957541	6964940	4227109	4619671	0.04986400725294651	0.4296875	1103	55	128
