sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_2.bin.3.fa	1036662	0.9141164095076809	1.0	4043089	3695854	3695854	0.8571428571428571	1.0	70	60	60
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_57.bin.3.fa	1048948	0.9921893909080106	1.0	3896111	3865680	3865680	0.9692307692307692	1.0	65	63	63
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.119.fa	1036719	0.998408769181604	1.0	6627574	6617028	6617028	0.9866666666666667	1.0	75	74	74
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.109.fa	evo_1036569.031	0.9961848691585886	1.0	3385205	3372290	3372290	0.9655172413793104	1.0	29	28	28
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_21.bin.6.fa	1030917	0.9864282937380043	1.0	3017233	2976284	2976284	0.835820895522388	1.0	67	56	56
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_14.bin.15.fa	1030758	1.0	1.0	2978743	2978743	2978743	1.0	1.0	8	8	8
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_76.bin.0.fa	1048576	0.9919683093720548	1.0	2934874	2911302	2911302	0.9382716049382716	1.0	81	76	76
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_9.bin.5.fa	1048930	0.7133224993227395	1.0	6179306	4407838	4407838	0.7777777777777778	1.0	27	21	21
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_10.bin.8.fa	1030746	0.9893734854421184	1.0	3586030	3547923	3547923	0.2857142857142857	1.0	7	2	2
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_45.bin.3.fa	1035987	0.9923619035884679	1.0	2045274	2029652	2029652	0.8478260869565217	1.0	46	39	39
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_43.bin.2.fa	1030743	0.9630975701824779	1.0	3745878	3607646	3607646	0.14285714285714285	1.0	21	3	3
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_10.bin.4.fa	1030821	0.9763602321876252	1.0	4206598	4107155	4107155	0.8846153846153846	1.0	78	69	69
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_33.bin.7.fa	1036698	0.907753657999294	1.0	3767770	3420207	3420207	0.8194444444444444	1.0	72	59	59
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_45.bin.6.fa	1048999	0.9991506464104736	1.0	7940156	7933412	7933412	0.8461538461538461	1.0	13	11	11
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_76.bin.4.fa	1030794	0.9977600925882076	1.0	9438783	9417641	9417641	0.8043478260869565	1.0	46	37	37
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_95.bin.0.fa	1048582	0.9991531081704794	1.0	5550886	5546185	5546185	0.84	1.0	25	21	21
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_46.bin.3.fa	1048990	0.9995534515175933	1.0	3276240	3274777	3274777	0.9565217391304348	1.0	23	22	22
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_31.bin.1.fa	1036542	0.9258940055643595	1.0	5655278	5236188	5236188	0.6	1.0	30	18	18
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_76.bin.3.fa	1036752	0.9654665810267524	1.0	3993465	3855557	3855557	0.8380281690140845	1.0	142	119	119
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_76.bin.2.fa	1048960	0.9902348510839495	1.0	3946586	3908047	3908047	0.9245283018867925	1.0	53	49	49
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.67.fa	1036647	0.9865813430842241	1.0	4054057	3999657	3999657	0.9538461538461539	1.0	65	62	62
