sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bin.S14C1006.fa	OTU_97.37297.0	1.0	1.0	2678781	2678781	2678781	1.0	1.0	4	4	4
gsa	bin.S14C3783.fa	OTU_97.6178.0	1.0	1.0	4839756	4839756	4839756	1.0	1.0	7	7	7
gsa	bin.S14C877.fa	OTU_97.37847.0	1.0	1.0	2184665	2184665	2184665	1.0	1.0	2	2	2
gsa	bin.S14C722.fa	OTU_97.42098.0	1.0	1.0	2664613	2664613	2664613	1.0	1.0	2	2	2
gsa	bin.S14C71.fa	OTU_97.605.0	1.0	1.0	3701188	3701188	3701188	1.0	1.0	2	2	2
gsa	bin.S14C6275.fa	OTU_97.462.0	0.6945381344852659	1.0	6979575	4847581	4847581	0.3333333333333333	1.0	3	1	1
gsa	bin.S14C58.fa	OTU_97.30766.0	0.41677445563100246	1.0	8758627	3650372	3650372	0.004424778761061947	1.0	678	3	3
gsa	bin.S14C555.fa	OTU_97.44564.0	1.0	1.0	1791648	1791648	1791648	1.0	1.0	1	1	1
gsa	bin.S14C5109.fa	OTU_97.34663.1	1.0	1.0	2658361	2658361	2658361	1.0	1.0	1	1	1
gsa	bin.S14C495.fa	OTU_97.7325.0	1.0	1.0	2566331	2566331	2566331	1.0	1.0	2	2	2
gsa	bin.S14C482.fa	OTU_97.45365.1	1.0	1.0	2130712	2130712	2130712	1.0	1.0	4	4	4
gsa	bin.S14C481.fa	OTU_97.33966.0	0.5075100188844731	1.0	4192333	2127651	2127651	0.5	1.0	2	1	1
gsa	bin.S14C45.fa	OTU_97.9718.0	1.0	1.0	3561539	3561539	3561539	1.0	1.0	3	3	3
gsa	bin.S14C391.fa	OTU_97.1440.0	1.0	1.0	1809680	1809680	1809680	1.0	1.0	1	1	1
gsa	bin.S14C4009.fa	OTU_97.36286.0	0.8097418796326177	1.0	2342628	1896924	1896924	0.5	1.0	2	1	1
gsa	bin.S14C15723.fa	OTU_97.34268.0	1.0	1.0	3802763	3802763	3802763	1.0	1.0	2	2	2
gsa	bin.S14C200.fa	OTU_97.45246.0	1.0	1.0	2036297	2036297	2036297	1.0	1.0	1	1	1
gsa	bin.S14C1070.fa	OTU_97.16289.0	1.0	1.0	2709785	2709785	2709785	1.0	1.0	2	2	2
gsa	bin.S14C124.fa	OTU_97.37290.0	1.0	1.0	2792009	2792009	2792009	1.0	1.0	7	7	7
gsa	bin.S14C131.fa	OTU_97.6835.0	1.0	1.0	4811233	4811233	4811233	1.0	1.0	3	3	3
gsa	bin.S14C33.fa	OTU_97.1245.0	1.0	1.0	2031850	2031850	2031850	1.0	1.0	1	1	1
gsa	bin.S14C16.fa	OTU_97.27089.0	0.5031081615924969	1.0	5265492	2649112	2649112	0.6666666666666666	1.0	3	2	2
gsa	bin.S14C8890.fa	OTU_97.1457.0	1.0	1.0	4714154	4714154	4714154	1.0	1.0	5	5	5
gsa	bin.S14C2030.fa	OTU_97.42478.0	0.33496417416587215	1.0	8576353	2872771	2872771	0.16666666666666666	1.0	6	1	1
gsa	bin.S14C2619.fa	OTU_97.36183.0	0.5018434551514879	1.0	5620153	2820437	2820437	0.25	1.0	4	1	1
gsa	bin.S14C2.fa	OTU_97.19460.0	1.0	1.0	5243142	5243142	5243142	1.0	1.0	5	5	5
gsa	bin.S14C1353.fa	OTU_97.34717.0	1.0	0.9990347425801895	2988025	2988025	2990912	1.0	0.5	1	1	2
gsa	bin.S14C143.fa	OTU_97.41334.0	1.0	0.9981634712963748	1824548	1824548	1827905	1.0	0.9024390243902439	37	37	41
gsa	bin.S14C36894.fa	OTU_97.34920.0	1.0	0.9978805240521574	2190701	2190701	2195354	1.0	0.5	1	1	2
gsa	bin.S14C4107.fa	OTU_97.35057.0	1.0	0.9937488638486861	2749720	2749720	2767017	1.0	0.875	7	7	8
gsa	bin.S14C543.fa	OTU_97.38699.0	0.10444633372092012	0.9917078633510649	28293018	2955102	2979811	0.1111111111111111	0.5	18	2	4
gsa	bin.S14C601.fa	OTU_97.34382.0	1.0	0.9862040390099962	2525350	2525350	2560677	1.0	0.4444444444444444	4	4	9
gsa	bin.S14C49.fa	OTU_97.13052.0	1.0	0.9767390840477802	2764785	2764785	2830628	1.0	0.8695652173913043	20	20	23
gsa	bin.S14C5935.fa	OTU_97.34716.0	1.0	0.8438175679421646	2435244	2435244	2885984	1.0	0.5	1	1	2
gsa	bin.S14C1453.fa	OTU_97.45063.1	1.0	0.7673115616454376	1469750	1469750	1915454	1.0	0.5	1	1	2
gsa	bin.S14C1025.fa	OTU_97.34716.0	1.0	0.15618243205783539	450740	450740	2885984	1.0	0.5	1	1	2
